Частота,Канал A
(kГц),(В)

0.00000000,0.26997350
0.02384186,0.18587200
0.04768372,0.12554840
0.07152557,0.03890631
0.09536743,0.00347469
0.11920929,0.00009010
0.14305115,0.00009796
0.16689301,0.00019554
0.19073486,0.00025339
0.21457672,0.00028054
0.23841858,0.00027349
0.26226044,0.00016412
0.28610229,0.00010403
0.30994415,0.00009767
0.33378601,0.00011797
0.35762787,0.00026058
0.38146973,0.00038014
0.40531158,0.00040544
0.42915344,0.00041848
0.45299530,0.00025274
0.47683716,0.00009957
0.50067902,0.00004486
0.52452087,0.00012288
0.54836273,0.00037099
0.57220459,0.00061690
0.59604645,0.00065998
0.61988831,0.00068072
0.64373016,0.00051267
0.66757202,0.00020131
0.69141388,0.00005290
0.71525574,0.00005800
0.73909760,0.00030166
0.76293945,0.00068954
0.78678131,0.00085653
0.81062317,0.00089275
0.83446503,0.00079304
0.85830688,0.00039964
0.88214874,0.00010176
0.90599060,0.00005888
0.92983246,0.00018006
0.95367432,0.00066856
0.97751617,0.00102643
1.00135803,0.00108861
1.02519989,0.00108557
1.04904175,0.00073604
1.07288361,0.00026225
1.09672546,0.00008176
1.12056732,0.00012255
1.14440918,0.00057939
1.16825104,0.00112341
1.19209290,0.00127375
1.21593475,0.00131328
1.23977661,0.00106950
1.26361847,0.00047171
1.28746033,0.00011706
1.31130219,0.00007398
1.33514404,0.00036783
1.35898590,0.00106987
1.38282776,0.00142605
1.40666962,0.00150111
1.43051147,0.00142798
1.45435333,0.00085088
1.47819519,0.00025592
1.50203705,0.00011679
1.52587891,0.00023920
1.54972076,0.00092173
1.57356262,0.00153207
1.59740448,0.00165921
1.62124634,0.00167098
1.64508820,0.00124064
1.66893005,0.00049273
1.69277191,0.00014436
1.71661377,0.00015163
1.74045563,0.00070800
1.76429749,0.00152725
1.78813934,0.00179303
1.81198120,0.00183862
1.83582306,0.00160407
1.85966492,0.00078877
1.88350677,0.00016159
1.90734863,0.00008400
1.93119049,0.00048128
1.95503235,0.00142028
1.97887421,0.00199415
2.00271606,0.00207617
2.02655792,0.00199857
2.05039978,0.00129775
2.07424164,0.00040789
2.09808350,0.00012064
2.12192535,0.00025543
2.14576721,0.00110794
2.16960907,0.00199251
2.19345093,0.00220624
2.21729279,0.00221650
2.24113464,0.00175141
2.26497650,0.00072568
2.28881836,0.00013820
2.31266022,0.00011438
2.33650208,0.00076792
2.36034393,0.00188428
2.38418579,0.00237148
2.40802765,0.00241692
2.43186951,0.00221014
2.45571136,0.00123828
2.47955322,0.00030491
2.50339508,0.00008398
2.52723694,0.00045618
2.55107880,0.00158552
2.57492065,0.00244410
2.59876251,0.00259228
2.62260437,0.00255808
2.64644623,0.00181903
2.67028809,0.00063550
2.69412994,0.00014476
2.71797180,0.00018487
2.74181366,0.00109740
2.76565552,0.00228506
2.78949738,0.00266932
2.81333923,0.00271195
2.83718109,0.00232211
2.86102295,0.00112619
2.88486481,0.00026615
2.90870667,0.00013979
2.93254852,0.00073858
2.95639038,0.00204021
2.98023224,0.00276665
3.00407410,0.00285020
3.02791595,0.00271670
3.05175781,0.00169735
3.07559967,0.00050090
3.09944153,0.00012298
3.12328339,0.00038969
3.14712524,0.00158281
3.17096710,0.00271205
3.19480896,0.00294451
3.21865082,0.00294283
3.24249268,0.00227639
3.26633453,0.00090253
3.29017639,0.00015927
3.31401825,0.00018475
3.33786011,0.00107997
3.36170197,0.00247578
3.38554382,0.00304667
3.40938568,0.00309853
3.43322754,0.00278373
3.45706940,0.00150453
3.48091125,0.00038299
3.50475311,0.00014028
3.52859497,0.00065550
3.55243683,0.00206666
3.57627869,0.00304496
3.60012054,0.00316211
3.62396240,0.00307721
3.64780426,0.00209816
3.67164612,0.00066124
3.69548798,0.00008340
3.71932983,0.00030902
3.74317169,0.00149993
3.76701355,0.00288767
3.79085541,0.00327433
3.81469727,0.00328742
3.83853912,0.00272298
3.86238098,0.00123210
3.88622284,0.00023009
3.91006470,0.00013627
3.93390656,0.00094090
3.95774841,0.00249402
3.98159027,0.00328832
4.00543213,0.00336514
4.02927399,0.00315635
4.05311584,0.00188924
4.07695770,0.00050607
4.10079956,0.00010470
4.12464142,0.00048231
4.14848328,0.00190393
4.17232513,0.00314183
4.19616699,0.00336930
4.22000885,0.00334263
4.24385071,0.00249610
4.26769257,0.00092413
4.29153442,0.00013535
4.31537628,0.00023357
4.33921814,0.00132517
4.36306000,0.00288027
4.38690186,0.00344553
4.41074371,0.00348335
4.43458557,0.00306503
4.45842743,0.00156851
4.48226929,0.00033400
4.50611115,0.00009752
4.52995300,0.00073142
4.55379486,0.00231262
4.57763672,0.00333803
4.60147858,0.00346428
4.62532043,0.00334455
4.64916229,0.00221185
4.67300415,0.00066905
4.69684601,0.00009173
4.72068787,0.00035895
4.74452972,0.00169490
4.76837158,0.00311868
4.79221344,0.00347620
4.81605530,0.00348619
4.83989716,0.00281487
4.86373901,0.00119709
4.88758087,0.00020528
4.91142273,0.00016770
4.93526459,0.00108231
4.95910645,0.00270679
4.98294830,0.00347168
5.00679016,0.00351955
5.03063202,0.00323647
5.05447388,0.00184541
5.07831573,0.00042942
5.10215759,0.00004661
5.12599945,0.00052629
5.14984131,0.00204463
5.17368317,0.00327200
5.19752502,0.00348458
5.22136688,0.00344352
5.24520874,0.00250179
5.26905060,0.00088668
5.29289246,0.00013963
5.31673431,0.00025626
5.34057617,0.00141458
5.36441803,0.00294958
5.38825989,0.00345298
5.41210175,0.00347899
5.43594360,0.00299862
5.45978546,0.00144857
5.48362732,0.00027708
5.50746918,0.00009680
5.53131104,0.00081213
5.55515289,0.00239400
5.57899475,0.00334159
5.60283661,0.00344009
5.62667847,0.00327621
5.65052032,0.00207280
5.67436218,0.00057528
5.69820404,0.00005483
5.72204590,0.00038046
5.74588776,0.00174229
5.76972961,0.00309979
5.79357147,0.00341146
5.81741333,0.00340848
5.84125519,0.00268790
5.86509705,0.00110508
5.88893890,0.00019164
5.91278076,0.00016871
5.93662262,0.00109560
5.96046448,0.00262822
5.98430634,0.00328988
6.00814819,0.00333597
6.03199005,0.00301957
6.05583191,0.00163935
6.07967377,0.00035635
6.10351563,0.00005515
6.12735748,0.00058082
6.15119934,0.00203851
6.17504120,0.00313105
6.19888306,0.00329560
6.22272491,0.00322310
6.24656677,0.00226540
6.27040863,0.00076250
6.29425049,0.00010588
6.31809235,0.00025173
6.34193420,0.00137332
6.36577606,0.00276528
6.38961792,0.00319920
6.41345978,0.00322360
6.43730164,0.00272327
6.46114349,0.00128345
6.48498535,0.00025932
6.50882721,0.00010811
6.53266907,0.00077063
6.55651093,0.00220201
6.58035278,0.00299024
6.60419464,0.00307681
6.62803650,0.00291832
6.65187836,0.00179659
6.67572021,0.00050155
6.69956207,0.00010344
6.72340393,0.00042288
6.74724579,0.00164320
6.77108765,0.00277728
6.79492950,0.00300970
6.81877136,0.00298428
6.84261322,0.00228644
6.86645508,0.00090500
6.89029694,0.00015900
6.91413879,0.00016604
6.93798065,0.00101935
6.96182251,0.00231568
6.98566437,0.00283343
7.00950623,0.00287220
7.03334808,0.00255955
7.05718994,0.00135248
7.08103180,0.00030860
7.10487366,0.00009162
7.12871552,0.00056382
7.15255737,0.00179064
7.17639923,0.00263861
7.20024109,0.00274858
7.22408295,0.00266143
7.24792480,0.00181191
7.27176666,0.00059259
7.29560852,0.00011137
7.31945038,0.00028924
7.34329224,0.00124524
7.36713409,0.00233076
7.39097595,0.00262406
7.41481781,0.00261084
7.43865967,0.00213365
7.46250153,0.00093658
7.48634338,0.00014358
7.51018524,0.00006900
7.53402710,0.00069203
7.55786896,0.00183533
7.58171082,0.00242586
7.60555267,0.00248798
7.62939453,0.00232101
7.65323639,0.00138631
7.67707825,0.00038322
7.70092010,0.00007983
7.72476196,0.00034838
7.74860382,0.00130736
7.77244568,0.00214064
7.79628754,0.00230246
7.82012939,0.00227885
7.84397125,0.00170026
7.86781311,0.00065018
7.89165497,0.00012029
7.91549683,0.00013886
7.93933868,0.00079728
7.96318054,0.00174092
7.98702240,0.00208373
8.01086426,0.00210397
8.03470612,0.00184468
8.05854797,0.00094297
8.08238983,0.00020788
8.10623169,0.00006302
8.13007355,0.00044011
8.15391541,0.00130723
8.17775726,0.00186466
8.20159912,0.00194714
8.22544098,0.00188050
8.24928284,0.00125077
8.27312469,0.00042143
8.29696655,0.00010179
8.32080841,0.00020898
8.34465027,0.00084199
8.36849213,0.00152518
8.39233398,0.00169054
8.41617584,0.00168160
8.44001770,0.00134251
8.46385956,0.00057005
8.48770142,0.00011996
8.51154327,0.00010717
8.53538513,0.00050863
8.55922699,0.00120821
8.58306885,0.00152427
8.60691071,0.00152954
8.63075256,0.00138492
8.65459442,0.00078100
8.67843628,0.00018879
8.70227814,0.00005446
8.72612000,0.00025735
8.74996185,0.00083684
8.77380371,0.00128298
8.79764557,0.00135243
8.82148743,0.00131479
8.84532928,0.00092828
8.86917114,0.00030688
8.89301300,0.00001378
8.91685486,0.00005808
8.94069672,0.00043648
8.96453857,0.00093266
8.98838043,0.00110227
9.01222229,0.00111114
9.03606415,0.00094160
9.05990601,0.00045039
9.08374786,0.00009272
9.10758972,0.00004096
9.13143158,0.00022539
9.15527344,0.00065005
9.17911530,0.00089775
9.20295715,0.00092378
9.22679901,0.00086806
9.25064087,0.00054798
9.27448273,0.00015215
9.29832458,0.00002658
9.32216644,0.00003406
9.34600830,0.00031614
9.36985016,0.00058026
9.39369202,0.00065704
9.41753387,0.00067161
9.44137573,0.00052593
9.46521759,0.00021887
9.48905945,0.00003299
9.51290131,0.00001297
9.53674316,0.00011611
9.56058502,0.00031342
9.58442688,0.00040935
9.60826874,0.00043874
9.63211060,0.00040371
9.65595245,0.00024312
9.67979431,0.00009959
9.70363617,0.00004267
9.72747803,0.00007007
9.75131989,0.00013904
9.77516174,0.00018329
9.79900360,0.00017789
9.82284546,0.00015599
9.84668732,0.00009865
9.87052917,0.00004859
9.89437103,0.00004174
9.91821289,0.00002133
9.94205475,0.00000759
9.96589661,0.00001448
9.98973846,0.00003355
10.01358032,0.00004693
10.03742218,0.00005335
10.06126404,0.00005484
10.08510590,0.00003486
10.10894775,0.00000669
10.13278961,0.00004843
10.15663147,0.00015939
10.18047333,0.00022938
10.20431519,0.00023838
10.22815704,0.00024207
10.25199890,0.00016974
10.27584076,0.00006833
10.29968262,0.00003507
10.32352448,0.00008014
10.34736633,0.00025577
10.37120819,0.00042881
10.39505005,0.00046526
10.41889191,0.00047577
10.44273376,0.00038646
10.46657562,0.00017609
10.49041748,0.00006679
10.51425934,0.00007692
10.53810120,0.00024335
10.56194305,0.00053721
10.58578491,0.00064889
10.60962677,0.00063705
10.63346863,0.00057127
10.65731049,0.00029265
10.68115234,0.00006424
10.70499420,0.00008920
10.72883606,0.00023947
10.75267792,0.00064082
10.77651978,0.00092114
10.80036163,0.00093392
10.82420349,0.00089323
10.84804535,0.00060004
10.87188721,0.00017786
10.89572906,0.00002251
10.91957092,0.00012742
10.94341278,0.00054435
10.96725464,0.00102685
10.99109650,0.00114548
11.01493835,0.00113825
11.03878021,0.00093612
11.06262207,0.00039711
11.08646393,0.00004054
11.11030579,0.00005347
11.13414764,0.00037374
11.15798950,0.00100734
11.18183136,0.00133602
11.20567322,0.00135523
11.22951508,0.00126970
11.25335693,0.00075009
11.27719879,0.00018183
11.30104065,0.00003884
11.32488251,0.00024701
11.34872437,0.00090568
11.37256622,0.00148725
11.39640808,0.00158755
11.42024994,0.00156784
11.44409180,0.00116497
11.46793365,0.00042302
11.49177551,0.00005517
11.51561737,0.00006656
11.53945923,0.00062316
11.56330109,0.00143643
11.58714294,0.00173672
11.61098480,0.00176006
11.63482666,0.00156692
11.65866852,0.00080681
11.68251038,0.00017351
11.70635223,0.00005744
11.73019409,0.00042092
11.75403595,0.00130807
11.77787781,0.00188568
11.80171967,0.00194360
11.82556152,0.00188987
11.84940338,0.00125423
11.87324524,0.00037947
11.89708710,0.00006758
11.92092896,0.00024288
11.94477081,0.00104704
11.96861267,0.00192694
11.99245453,0.00212754
12.01629639,0.00211541
12.04013824,0.00169375
12.06398010,0.00069009
12.08782196,0.00008195
12.11166382,0.00010393
12.13550568,0.00072139
12.15934753,0.00182387
12.18318939,0.00233046
12.20703125,0.00235612
12.23087311,0.00217764
12.25471497,0.00124202
12.27855682,0.00029885
12.30239868,0.00005758
12.32624054,0.00041846
12.35008240,0.00151514
12.37392426,0.00239379
12.39776611,0.00251212
12.42160797,0.00246956
12.44544983,0.00177773
12.46929169,0.00058968
12.49313354,0.00004378
12.51697540,0.00019114
12.54081726,0.00110092
12.56465912,0.00230559
12.58850098,0.00270064
12.61234283,0.00271731
12.63618469,0.00233036
12.66002655,0.00111180
12.68386841,0.00019890
12.70771027,0.00006635
12.73155212,0.00067851
12.75539398,0.00202267
12.77923584,0.00282361
12.80307770,0.00290008
12.82691956,0.00278029
12.85076141,0.00178381
12.87460327,0.00052060
12.89844513,0.00007635
12.92228699,0.00031539
12.94612885,0.00150791
12.96997070,0.00271205
12.99381256,0.00297732
13.01765442,0.00298345
13.04149628,0.00236226
13.06533813,0.00095728
13.08917999,0.00015466
13.11302185,0.00017485
13.13686371,0.00106004
13.16070557,0.00251425
13.18454742,0.00313440
13.20838928,0.00317762
13.23223114,0.00289550
13.25607300,0.00158926
13.27991486,0.00037844
13.30375671,0.00009127
13.32759857,0.00059628
13.35144043,0.00204815
13.37528229,0.00313662
13.39912415,0.00328062
13.42296600,0.00321579
13.44680786,0.00226255
13.47064972,0.00075664
13.49449158,0.00010443
13.51833344,0.00028192
13.54217529,0.00147745
13.56601715,0.00295398
13.58985901,0.00338097
13.61370087,0.00340328
13.63754272,0.00288828
13.66138458,0.00134678
13.68522644,0.00026860
13.70906830,0.00017131
13.73291016,0.00097025
13.75675201,0.00258398
13.78059387,0.00346315
13.80443573,0.00353177
13.82827759,0.00332841
13.85211945,0.00202569
