t,U
-17.2,20
-16.8,32
-16.6,50
-16.4,72
-16.2,90
-16,100
-15.4,110
-14.6,102
-13.8,96
-13.4,92
-12.4,86
-11.8,80
-11,76
-10,72
-8,66
-7,62
-6,60
-5,56
-4,56
-3,56
-2,56
-1,50
0,52
1,50
2,50
3,46
4,46
5,46
6,46
7,46
8,46
9,40
10,42
11,42
12,40
13,42
14,40
15,40
16,40
17,36
18,40
19,40
20,40
21,40
22,40
23,40
24,40
25,40
26,40
27,40
28,40
29,40
30,30
31,30
32,30
33,30
