q,l,d,d_err
0.09683,50,5.25,0.05
0.02875,20,3,0.1
0.03186,50,3.9,0.05
0.10504,50,5.05,0.05
0.105,20,5.1,0.05
0.01108,15,3,0.1
0.0295,25,3.95,0.05
