n
39
24
23
30
33
19
24
19
25
22
22
29
30
26
13
25
23
19
20
36
27
20
34
31
27
21
34
16
21
23
29
24
22
26
23
31
26
23
22
11
14
21
23
22
21
17
24
30
29
25
23
29
22
40
28
29
32
28
20
19
18
29
34
26
32
25
17
28
35
21
21
25
30
22
23
21
26
17
20
19
27
21
24
27
20
28
19
29
25
22
30
33
20
18
24
16
21
18
26
24
16
38
27
34
18
23
32
21
27
22
31
25
23
23
21
21
27
29
31
24
28
23
24
28
26
35
27
29
21
28
22
21
23
35
31
27
18
18
26
20
21
21
23
23
29
37
23
34
37
32
23
17
24
25
35
18
23
24
21
23
28
20
19
21
14
21
22
24
21
24
31
14
26
28
23
34
24
19
18
20
32
24
29
26
24
23
20
26
29
40
16
20
26
31
25
34
23
27
21
31
