Частота,Канал A
(kГц),(В)

0.00000000,0.27504890
0.02384186,0.18933870
0.04768372,0.12789760
0.07152557,0.03966365
0.09536743,0.00355207
0.11920929,0.00020350
0.14305115,0.00019770
0.16689301,0.00011880
0.19073486,0.00001490
0.21457672,0.00010996
0.23841858,0.00020869
0.26226044,0.00019645
0.28610229,0.00014743
0.30994415,0.00006198
0.33378601,0.00005144
0.35762787,0.00013508
0.38146973,0.00014481
0.40531158,0.00015709
0.42915344,0.00012951
0.45299530,0.00017496
0.47683716,0.00024052
0.50067902,0.00028335
0.52452087,0.00028090
0.54836273,0.00024064
0.57220459,0.00019405
0.59604645,0.00011547
0.61988831,0.00009440
0.64373016,0.00008655
0.66757202,0.00009866
0.69141388,0.00006263
0.71525574,0.00005060
0.73909760,0.00018119
0.76293945,0.00027961
0.78678131,0.00036051
0.81062317,0.00030795
0.83446503,0.00018788
0.85830688,0.00005548
0.88214874,0.00007807
0.90599060,0.00011355
0.92983246,0.00010294
0.95367432,0.00011547
0.97751617,0.00013178
1.00135803,0.00007676
1.02519989,0.00003480
1.04904175,0.00008490
1.07288361,0.00013382
1.09672546,0.00013589
1.12056732,0.00005154
1.14440918,0.00008249
1.16825104,0.00016021
1.19209290,0.00021920
1.21593475,0.00024904
1.23977661,0.00026994
1.26361847,0.00026155
1.28746033,0.00023578
1.31130219,0.00014193
1.33514404,0.00008000
1.35898590,0.00012726
1.38282776,0.00017914
1.40666962,0.00019157
1.43051147,0.00018616
1.45435333,0.00014799
1.47819519,0.00007906
1.50203705,0.00004103
1.52587891,0.00004017
1.54972076,0.00002103
1.57356262,0.00006126
1.59740448,0.00014451
1.62124634,0.00018684
1.64508820,0.00019400
1.66893005,0.00018385
1.69277191,0.00011923
1.71661377,0.00008055
1.74045563,0.00007167
1.76429749,0.00006985
1.78813934,0.00004582
1.81198120,0.00002322
1.83582306,0.00003749
1.85966492,0.00005851
1.88350677,0.00007800
1.90734863,0.00001940
1.93119049,0.00010487
1.95503235,0.00022471
1.97887421,0.00027602
2.00271606,0.00030091
2.02655792,0.00023910
2.05039978,0.00014089
2.07424164,0.00015537
2.09808350,0.00018233
2.12192535,0.00018734
2.14576721,0.00016033
2.16960907,0.00012216
2.19345093,0.00008704
2.21729279,0.00012388
2.24113464,0.00021225
2.26497650,0.00026302
2.28881836,0.00032044
2.31266022,0.00033252
2.33650208,0.00028429
2.36034393,0.00020952
2.38418579,0.00019262
2.40802765,0.00017476
2.43186951,0.00011838
2.45571136,0.00009284
2.47955322,0.00008161
2.50339508,0.00004541
2.52723694,0.00007686
2.55107880,0.00010055
2.57492065,0.00006394
2.59876251,0.00006886
2.62260437,0.00009748
2.64644623,0.00010994
2.67028809,0.00009130
2.69412994,0.00005745
2.71797180,0.00008428
2.74181366,0.00014010
2.76565552,0.00021562
2.78949738,0.00025974
2.81333923,0.00025321
2.83718109,0.00019044
2.86102295,0.00009438
2.88486481,0.00004397
2.90870667,0.00011725
2.93254852,0.00019558
2.95639038,0.00023275
2.98023224,0.00021263
3.00407410,0.00019699
3.02791595,0.00020128
3.05175781,0.00016976
3.07559967,0.00013007
3.09944153,0.00009738
3.12328339,0.00006528
3.14712524,0.00008349
3.17096710,0.00006629
3.19480896,0.00011718
3.21865082,0.00018030
3.24249268,0.00020088
3.26633453,0.00020662
3.29017639,0.00016739
3.31401825,0.00011906
3.33786011,0.00010373
3.36170197,0.00010618
3.38554382,0.00014728
3.40938568,0.00019644
3.43322754,0.00018874
3.45706940,0.00018464
3.48091125,0.00018805
3.50475311,0.00017349
3.52859497,0.00015786
3.55243683,0.00015061
3.57627869,0.00014235
3.60012054,0.00012681
3.62396240,0.00012712
3.64780426,0.00012319
3.67164612,0.00012378
3.69548798,0.00013136
3.71932983,0.00007638
3.74317169,0.00004215
3.76701355,0.00003815
3.79085541,0.00003297
3.81469727,0.00003077
3.83853912,0.00006366
3.86238098,0.00010245
3.88622284,0.00010594
3.91006470,0.00010985
3.93390656,0.00006416
3.95774841,0.00010886
3.98159027,0.00016325
4.00543213,0.00018444
4.02927399,0.00019349
4.05311584,0.00016950
4.07695770,0.00012934
4.10079956,0.00005134
4.12464142,0.00007968
4.14848328,0.00020793
4.17232513,0.00025725
4.19616699,0.00028905
4.22000885,0.00028135
4.24385071,0.00023480
4.26769257,0.00019577
4.29153442,0.00016855
4.31537628,0.00015919
4.33921814,0.00017514
4.36306000,0.00019052
4.38690186,0.00017922
4.41074371,0.00014328
4.43458557,0.00011648
4.45842743,0.00011774
4.48226929,0.00014161
4.50611115,0.00018620
4.52995300,0.00020994
4.55379486,0.00020133
4.57763672,0.00016069
4.60147858,0.00009767
4.62532043,0.00003415
4.64916229,0.00011136
4.67300415,0.00015773
4.69684601,0.00016343
4.72068787,0.00013289
4.74452972,0.00007742
4.76837158,0.00003600
4.79221344,0.00003825
4.81605530,0.00010247
4.83989716,0.00014405
4.86373901,0.00016120
4.88758087,0.00015204
4.91142273,0.00015226
4.93526459,0.00017265
4.95910645,0.00018002
4.98294830,0.00016028
5.00679016,0.00018213
5.03063202,0.00019086
5.05447388,0.00017520
5.07831573,0.00009629
5.10215759,0.00002062
5.12599945,0.00007388
5.14984131,0.00009373
5.17368317,0.00012047
5.19752502,0.00011565
5.22136688,0.00011748
5.24520874,0.00009385
5.26905060,0.00006361
5.29289246,0.00014315
5.31673431,0.00020429
5.34057617,0.00026151
5.36441803,0.00026260
5.38825989,0.00024749
5.41210175,0.00023894
5.43594360,0.00019516
5.45978546,0.00015126
5.48362732,0.00014014
5.50746918,0.00014360
5.53131104,0.00014920
5.55515289,0.00016075
5.57899475,0.00014772
5.60283661,0.00013352
5.62667847,0.00013359
5.65052032,0.00010223
5.67436218,0.00007243
5.69820404,0.00008568
5.72204590,0.00009956
5.74588776,0.00010281
5.76972961,0.00005877
5.79357147,0.00006182
5.81741333,0.00011542
5.84125519,0.00016259
5.86509705,0.00016538
5.88893890,0.00011533
5.91278076,0.00012332
5.93662262,0.00016396
5.96046448,0.00013171
5.98430634,0.00007769
6.00814819,0.00007029
6.03199005,0.00006863
6.05583191,0.00008814
6.07967377,0.00012119
6.10351563,0.00014077
6.12735748,0.00018136
6.15119934,0.00020032
6.17504120,0.00018395
6.19888306,0.00016541
6.22272491,0.00010749
6.24656677,0.00011270
6.27040863,0.00015202
6.29425049,0.00017417
6.31809235,0.00017759
6.34193420,0.00010714
6.36577606,0.00007977
6.38961792,0.00012012
6.41345978,0.00013742
6.43730164,0.00014795
6.46114349,0.00012420
6.48498535,0.00008202
6.50882721,0.00006712
6.53266907,0.00005156
6.55651093,0.00005078
6.58035278,0.00005236
6.60419464,0.00008485
6.62803650,0.00012700
6.65187836,0.00012946
6.67572021,0.00007985
6.69956207,0.00005237
6.72340393,0.00003504
6.74724579,0.00008922
6.77108765,0.00010332
6.79492950,0.00011868
6.81877136,0.00010186
6.84261322,0.00011571
6.86645508,0.00013997
6.89029694,0.00013500
6.91413879,0.00014756
6.93798065,0.00014558
6.96182251,0.00009941
6.98566437,0.00007575
7.00950623,0.00009969
7.03334808,0.00013336
7.05718994,0.00014019
7.08103180,0.00012318
7.10487366,0.00006046
7.12871552,0.00006846
7.15255737,0.00016178
7.17639923,0.00023298
7.20024109,0.00028416
7.22408295,0.00029578
7.24792480,0.00026224
7.27176666,0.00021917
7.29560852,0.00015153
7.31945038,0.00007029
7.34329224,0.00010612
7.36713409,0.00013853
7.39097595,0.00014995
7.41481781,0.00014120
7.43865967,0.00009674
7.46250153,0.00008026
7.48634338,0.00008517
7.51018524,0.00004135
7.53402710,0.00010026
7.55786896,0.00017086
7.58171082,0.00024724
7.60555267,0.00029877
7.62939453,0.00027698
7.65323639,0.00021371
7.67707825,0.00014302
7.70092010,0.00007592
7.72476196,0.00005502
7.74860382,0.00005809
7.77244568,0.00005606
7.79628754,0.00008987
7.82012939,0.00012858
7.84397125,0.00019920
7.86781311,0.00030341
7.89165497,0.00031258
7.91549683,0.00024789
7.93933868,0.00016973
7.96318054,0.00010416
7.98702240,0.00012722
8.01086426,0.00012592
8.03470612,0.00009096
8.05854797,0.00008729
8.08238983,0.00010753
8.10623169,0.00011494
8.13007355,0.00011739
8.15391541,0.00011907
8.17775726,0.00012062
8.20159912,0.00011346
8.22544098,0.00012427
8.24928284,0.00015534
8.27312469,0.00019388
8.29696655,0.00018899
8.32080841,0.00016847
8.34465027,0.00014625
8.36849213,0.00011151
8.39233398,0.00009300
8.41617584,0.00007781
8.44001770,0.00006978
8.46385956,0.00007701
8.48770142,0.00011201
8.51154327,0.00014819
8.53538513,0.00017381
8.55922699,0.00018132
8.58306885,0.00012284
8.60691071,0.00008229
8.63075256,0.00004229
8.65459442,0.00007847
8.67843628,0.00009085
8.70227814,0.00003840
8.72612000,0.00006053
8.74996185,0.00014927
8.77380371,0.00022652
8.79764557,0.00024494
8.82148743,0.00019491
8.84532928,0.00010393
8.86917114,0.00006335
8.89301300,0.00013487
8.91685486,0.00010635
8.94069672,0.00009263
8.96453857,0.00007856
8.98838043,0.00005140
9.01222229,0.00008692
9.03606415,0.00013121
9.05990601,0.00017873
9.08374786,0.00019504
9.10758972,0.00016017
9.13143158,0.00014656
9.15527344,0.00016068
9.17911530,0.00016381
9.20295715,0.00016956
9.22679901,0.00015307
9.25064087,0.00007992
9.27448273,0.00004184
9.29832458,0.00007051
9.32216644,0.00012356
9.34600830,0.00013472
9.36985016,0.00009815
9.39369202,0.00007375
9.41753387,0.00009075
9.44137573,0.00016042
9.46521759,0.00016035
9.48905945,0.00014480
9.51290131,0.00021588
9.53674316,0.00026620
9.56058502,0.00027689
9.58442688,0.00026327
9.60826874,0.00017486
9.63211060,0.00013762
9.65595245,0.00012961
9.67979431,0.00009110
9.70363617,0.00006212
9.72747803,0.00008203
9.75131989,0.00011461
9.77516174,0.00012095
9.79900360,0.00009893
9.82284546,0.00008413
9.84668732,0.00010203
9.87052917,0.00011535
9.89437103,0.00013149
9.91821289,0.00015552
9.94205475,0.00013314
9.96589661,0.00006756
9.98973846,0.00010193
10.01358032,0.00017078
10.03742218,0.00018053
10.06126404,0.00013589
10.08510590,0.00007542
10.10894775,0.00003665
10.13278961,0.00002233
10.15663147,0.00007683
10.18047333,0.00012365
10.20431519,0.00016260
10.22815704,0.00012871
10.25199890,0.00008730
10.27584076,0.00017365
10.29968262,0.00030640
10.32352448,0.00037601
10.34736633,0.00037162
10.37120819,0.00035561
10.39505005,0.00036883
10.41889191,0.00038745
10.44273376,0.00037880
10.46657562,0.00035681
10.49041748,0.00028655
10.51425934,0.00015540
10.53810120,0.00006602
10.56194305,0.00001484
10.58578491,0.00010860
10.60962677,0.00019744
10.63346863,0.00024667
10.65731049,0.00024315
10.68115234,0.00020278
10.70499420,0.00020159
10.72883606,0.00024689
10.75267792,0.00024381
10.77651978,0.00020399
10.80036163,0.00017418
10.82420349,0.00013321
10.84804535,0.00007747
10.87188721,0.00003253
10.89572906,0.00003319
10.91957092,0.00002526
10.94341278,0.00001965
10.96725464,0.00008799
10.99109650,0.00012561
11.01493835,0.00020721
11.03878021,0.00035601
11.06262207,0.00041428
11.08646393,0.00040230
11.11030579,0.00035616
11.13414764,0.00023727
11.15798950,0.00012958
11.18183136,0.00009069
11.20567322,0.00010756
11.22951508,0.00013612
11.25335693,0.00014396
11.27719879,0.00015356
11.30104065,0.00012711
11.32488251,0.00006822
11.34872437,0.00006353
11.37256622,0.00009584
11.39640808,0.00010617
11.42024994,0.00014422
11.44409180,0.00012606
11.46793365,0.00007213
11.49177551,0.00007262
11.51561737,0.00007845
11.53945923,0.00015867
11.56330109,0.00018534
11.58714294,0.00015792
11.61098480,0.00015824
11.63482666,0.00016378
11.65866852,0.00016343
11.68251038,0.00016875
11.70635223,0.00017502
11.73019409,0.00017425
11.75403595,0.00014853
11.77787781,0.00012749
11.80171967,0.00016496
11.82556152,0.00026305
11.84940338,0.00033249
11.87324524,0.00036942
11.89708710,0.00036234
11.92092896,0.00030837
11.94477081,0.00024234
11.96861267,0.00017277
11.99245453,0.00011376
12.01629639,0.00011176
12.04013824,0.00008140
12.06398010,0.00002547
12.08782196,0.00003365
12.11166382,0.00006191
12.13550568,0.00006850
12.15934753,0.00008431
12.18318939,0.00008837
12.20703125,0.00012463
12.23087311,0.00019100
12.25471497,0.00023190
12.27855682,0.00022111
12.30239868,0.00019163
12.32624054,0.00020671
12.35008240,0.00023790
12.37392426,0.00021717
12.39776611,0.00017737
12.42160797,0.00011273
12.44544983,0.00005202
12.46929169,0.00002451
12.49313354,0.00003851
12.51697540,0.00007621
12.54081726,0.00010327
12.56465912,0.00014324
12.58850098,0.00017580
12.61234283,0.00014901
12.63618469,0.00013094
12.66002655,0.00008929
12.68386841,0.00002988
12.70771027,0.00014584
12.73155212,0.00025728
12.75539398,0.00030327
12.77923584,0.00029838
12.80307770,0.00023756
12.82691956,0.00017486
12.85076141,0.00013212
12.87460327,0.00010558
12.89844513,0.00011655
12.92228699,0.00012135
12.94612885,0.00013673
12.96997070,0.00016055
12.99381256,0.00016021
13.01765442,0.00017317
13.04149628,0.00016387
13.06533813,0.00015995
13.08917999,0.00017917
13.11302185,0.00018352
13.13686371,0.00016204
13.16070557,0.00010348
13.18454742,0.00006832
13.20838928,0.00005542
13.23223114,0.00004713
13.25607300,0.00005641
13.27991486,0.00006382
13.30375671,0.00012218
13.32759857,0.00018501
13.35144043,0.00022185
13.37528229,0.00026968
13.39912415,0.00030786
13.42296600,0.00029118
13.44680786,0.00029037
13.47064972,0.00031595
13.49449158,0.00026378
13.51833344,0.00015850
13.54217529,0.00009971
13.56601715,0.00006972
13.58985901,0.00007625
13.61370087,0.00014854
13.63754272,0.00021906
13.66138458,0.00022951
13.68522644,0.00016543
13.70906830,0.00008132
13.73291016,0.00010018
13.75675201,0.00019185
13.78059387,0.00017034
13.80443573,0.00007653
13.82827759,0.00001881
13.85211945,0.00004002
