U,I
V,microampere
-25.097,-51.37
-22.018,-49.57
-19.051,-47.86
-15.977,-46.06
-12.981,-43.44
-9.99,-38.59
-8.053,-33.49
-6.004,-25.99
-3.9929,-16.45
-2.0267,-5.3
0.0093,11.75
2.014,24.06
3.9851,34.49
6.041,43.24
8.089,49.71
9.997,54.01
13.006,58.27
16.035,60.89
19.033,62.9
22.001,64.86
25.099,66.93


