U,I
V,microampere
25.097,113.12
22.052,110.38
19.039,107.66
16.044,104.07
13.049,98.61
10.046,89.85
7.99,81.27
6.037,70.69
4.0057,57.41
2.0843,44.09
0.0034,26.84
-0.0052,-5.3
-2.0093,-20.83
-4.0049,-35.69
-6.007,-49.77
-7.999,-61.98
-10.027,-71.44
-13.008,-81.14
-16.012,-87.02
-19.025,-90.63
-22.015,-93.64
-25.089,-96.65

