U,I
V,mA
34.3,0.5287
33.072,0.7965
32.25,1.105
31.699,1.4120
31.05,1.7132
28.033,2.0071
23.624,2.3188
21.1107,2.6939
19.275,2.9043
17.802,3.2014
16.734,3.4951
16.184,3.8061
15.628,4.0944
15.13,4.3931
14.52,4.7111
14.051,4.9915
14.464,4.7074
15,4.4077
15.452,4.0949
15.973,3.7503
16.554,3.5097
17.693,3.1995
19.185,2.8977
21.1,2.5853
23.764,2.2830
27.688,2.0061
31.112,1.6825
31.667,1.4097
32.218,1.1016
33.041,0.8040
34.47,0.4968
