t,V
0,14.4749
1,14.4603
2,14.4439
3,14.4295
4,14.4157
4.999,14.4018
5.999,14.3868
7,14.3739
8,14.3608
8.999,14.3495
9.999,14.3356
10.999,14.3241
11.999,14.3127
13,14.3007
13.999,14.2903
14.999,14.2803
15.999,14.2692
16.999,14.2591
18,14.2481
19,14.238
20,14.2281
21,14.2183
21.999,14.208
22.999,14.1989
23.999,14.1901
24.999,14.1813
25.999,14.1722
27,14.1641
27.999,14.1548
29,14.1469
30,14.1377
31,14.1297
32,14.1223
33,14.1136
33.999,14.1055
34.999,14.0984
35.999,14.0897
37,14.0821
38,14.0734
38.999,14.0655
39.999,14.0574
40.999,14.0513
41.999,14.0434
42.999,14.0364
43.999,14.0283
44.999,14.0213
46,14.0158
47,14.0073
48,14.0002
49,13.9928
50,13.9867
51,13.9778
52,13.9727
53,13.9658
53.999,13.9598
54.999,13.9524
55.999,13.9461
57,13.9386
58,13.9328
59,13.9274
60,13.9215
61,13.9147
62,13.9077
63,13.9028
64,13.8963
64.999,13.8907
65.999,13.8843
66.999,13.8782
67.999,13.8724
69,13.867
70,13.8613
71,13.8558
72,13.8498
72.999,13.8434
73.999,13.8375
74.999,13.8313
75.999,13.8252
76.999,13.819
77.999,13.8121
79,13.806
79.999,13.799
81,13.7941
82,13.7873
83,13.7812
83.999,13.7751
84.999,13.7694
86,13.7629
87,13.7569
88,13.7514
89,13.7452
90,13.739
91,13.7326
92,13.7267
93,13.7198
94,13.7142
95,13.7085
96,13.703
97,13.6968
98,13.6915
99,13.6863
100,13.6803
101,13.6752
102,13.6694
103,13.6644
104,13.6582
105,13.653
105.999,13.6473
106.999,13.6417
107.999,13.637
108.999,13.6313
109.999,13.6268
110.999,13.6212
111.999,13.6167
112.999,13.6108
114,13.6053
115,13.6006
116,13.5959
117,13.5906
118,13.5851
119,13.5809
120,13.575
121,13.5696
121.999,13.5634
122.999,13.5572
123.999,13.5515
124.999,13.5461
125.999,13.5395
126.999,13.5337
127.999,13.5273
128.999,13.5229
130,13.5169
130.999,13.5105
131.999,13.505
132.999,13.4994
134,13.4936
134.999,13.4881
136,13.4819
137,13.4756
138,13.4704
139,13.4659
139.999,13.4612
141,13.4555
142,13.4507
143,13.445
144,13.4405
145,13.4354
145.999,13.431
146.999,13.4257
147.999,13.4203
148.999,13.4161
149.999,13.4113
150.999,13.4069
151.999,13.4024
152.999,13.3978
153.999,13.3928
154.999,13.3885
156,13.3823
157,13.3787
158,13.3734
159,13.3686
160,13.3647
160.999,13.3583
161.999,13.354
162.999,13.3484
163.999,13.3424
164.999,13.3376
166,13.3326
167,13.3262
167.999,13.3226
168.999,13.3175
169.999,13.3114
171,13.3074
172,13.3014
173,13.2967
174,13.2909
175,13.2853
176,13.2808
177,13.2756
178,13.2699
178.999,13.2642
180,13.2597
180.999,13.2533
182,13.2478
182.999,13.2435
184,13.2382
185,13.2328
186,13.228
187,13.223
188,13.219
188.999,13.2144
189.999,13.2097
190.999,13.205
191.999,13.2006
192.999,13.1956
193.999,13.1913
195,13.1854
195.999,13.181
196.999,13.1758
198,13.171
199,13.1658
200,13.1614
200.999,13.1568
201.999,13.1521
203,13.1479
204,13.1423
205,13.1377
205.999,13.1323
207,13.127
208,13.122
209,13.1166
209.999,13.1118
210.999,13.1071
211.999,13.102
213,13.0969
214,13.0914
215,13.0864
215.999,13.0814
217,13.077
218,13.0721
219,13.0674
219.999,13.0623
220.999,13.0573
222,13.0518
223,13.047
224,13.043
224.999,13.0385
226,13.0327
227,13.0292
228,13.0241
228.999,13.0205
229.999,13.0147
230.999,13.0112
232,13.0066
233,13.0013
234,12.9962
235,12.9917
236,12.9864
236.999,12.9829
237.999,12.9792
238.999,12.9735
240,12.9686
241,12.9634
242,12.9598
242.999,12.955
244,12.9509
245,12.9467
245.999,12.9422
246.999,12.9389
248,12.9334
249,12.9297
250,12.9251
250.999,12.9209
252,12.917
253,12.9121
253.999,12.9078
254.999,12.9032
255.999,12.8993
257,12.8949
258,12.8894
259,12.8849
260,12.8804
260.999,12.8756
261.999,12.871
262.999,12.8665
264,12.8625
265,12.8579
265.999,12.8526
267,12.8488
268,12.8442
269,12.8403
269.999,12.8354
271,12.8304
272,12.8261
272.999,12.8202
274,12.8164
275,12.8126
275.999,12.8077
276.999,12.8031
278,12.7989
279,12.7944
280,12.7895
280.999,12.7855
281.999,12.7807
283,12.777
283.999,12.7725
284.999,12.7682
286,12.7645
287,12.7602
287.999,12.7549
289,12.7516
290,12.7474
290.999,12.7437
292,12.7384
292.999,12.7352
294,12.7301
295,12.7262
295.999,12.7225
297,12.7193
298,12.7143
298.999,12.7102
299.999,12.7069
301,12.7023
302,12.6972
302.999,12.6938
303.999,12.6895
305,12.6851
306,12.6798
306.999,12.676
308,12.6703
309,12.6672
309.999,12.663
311,12.6586
312,12.6545
312.999,12.6504
314,12.6457
315,12.6415
315.999,12.6374
317,12.6326
318,12.629
318.999,12.6247
320,12.6198
321,12.6146
321.999,12.6113
323,12.6059
324,12.602
324.999,12.5988
325.999,12.5939
327,12.589
328,12.5853
328.999,12.5799
330,12.5772
331,12.5731
331.999,12.5695
333,12.5654
333.999,12.5616
335,12.5573
335.999,12.5535
337,12.5488
338,12.5459
338.999,12.5417
340,12.5373
341.001,12.5342
342,12.5303
342.999,12.5259
344,12.5226
345,12.5174
345.999,12.5138
347,12.51
347.999,12.5065
349,12.5017
350,12.4983
350.999,12.4939
352,12.4904
352.999,12.486
353.999,12.482
355,12.4775
355.999,12.4725
356.999,12.4691
358,12.4654
359,12.4607
359.999,12.4569
361,12.453
362,12.4489
362.999,12.4452
364,12.4409
364.999,12.4363
366,12.4327
367,12.429
367.999,12.4244
369,12.4206
369.999,12.4163
371,12.4123
371.999,12.4078
373,12.4036
374,12.3998
374.999,12.3952
376,12.3917
376.999,12.3867
377.999,12.3828
379,12.3789
379.999,12.3743
380.999,12.3705
382,12.3654
382.999,12.3622
383.999,12.3582
385,12.3543
385.999,12.3508
387,12.3476
387.999,12.3433
389,12.3396
390,12.3367
391,12.3332
392,12.3294
392.999,12.3251
394,12.322
394.999,12.3187
396,12.315
396.999,12.3112
398,12.3079
399,12.3048
400,12.3004
400.999,12.2978
402,12.2933
402.999,12.2913
404,12.2867
405,12.2834
405.999,12.2795
407,12.276
407.999,12.2715
409,12.2675
410,12.2636
410.999,12.2586
412,12.256
412.999,12.2504
414,12.2477
414.999,12.2437
416,12.2395
417,12.2353
418,12.2304
418.999,12.2266
420,12.2228
420.999,12.219
422,12.2142
423,12.2101
424,12.2058
425,12.2013
425.999,12.1983
427,12.1936
427.999,12.1896
429,12.1858
430,12.1813
430.999,12.1776
432,12.1744
433,12.1703
434,12.1668
435,12.1622
435.999,12.1586
437,12.1551
437.999,12.1511
439,12.1475
439.999,12.1431
441,12.1405
442,12.1361
443,12.1323
444,12.1277
445,12.1249
446,12.1214
447,12.1173
448,12.1138
448.999,12.1101
450,12.1078
450.999,12.1033
452,12.099
452.999,12.096
454,12.0922
454.999,12.0886
456,12.0845
456.999,12.0806
458,12.0768
458.999,12.0729
460,12.0699
461,12.0653
461.999,12.0618
463,12.0583
463.999,12.0555
465,12.0526
465.999,12.0497
467,12.0464
468,12.0414
469,12.0377
469.999,12.0345
471,12.0308
471.999,12.0273
473,12.0229
474,12.0202
474.999,12.0166
476,12.014
476.999,12.0105
478,12.0079
478.999,12.0034
480,12.0009
481.004,11.9995
482,11.9942
482.999,11.9913
484,11.9871
484.999,11.9843
486,11.9807
487,11.977
487.999,11.9744
489,11.9706
489.999,11.9678
491,11.9642
491.999,11.9605
492.999,11.9578
494,11.9543
494.999,11.9512
496,11.947
496.999,11.9444
498,11.9394
498.999,11.9366
500,11.9318
501,11.9294
502,11.9257
503,11.9217
504,11.9177
505,11.915
505.999,11.9108
507,11.907
507.999,11.9049
508.999,11.9003
510,11.8965
510.999,11.8927
512,11.8885
513,11.8843
514,11.8811
