t,V
313.884,10.5723
314.883,10.566
315.884,10.56
316.883,10.553
317.884,10.5475
318.883,10.5404
319.884,10.5344
320.883,10.5282
321.883,10.5225
322.884,10.5159
323.883,10.509
324.884,10.503
325.883,10.4968
326.883,10.4909
327.884,10.4839
328.883,10.4784
329.884,10.4715
330.883,10.4652
331.883,10.4592
332.884,10.4532
333.883,10.4455
334.883,10.4405
335.884,10.4341
336.884,10.4266
337.884,10.4215
338.883,10.4155
339.884,10.4086
340.883,10.4024
341.884,10.3967
342.883,10.3899
343.884,10.3827
344.884,10.3762
345.883,10.3702
346.884,10.364
347.883,10.3579
348.884,10.3511
349.884,10.345
350.883,10.3396
351.884,10.3333
352.883,10.328
353.884,10.3203
354.883,10.3153
355.884,10.3072
356.883,10.3027
357.884,10.2961
358.883,10.2897
359.884,10.284
360.884,10.2776
361.883,10.2721
362.884,10.2643
363.883,10.2595
364.884,10.2529
365.884,10.2467
366.883,10.2414
367.884,10.2342
368.883,10.2286
369.883,10.2223
370.884,10.2163
371.883,10.2102
372.884,10.2046
373.883,10.1989
374.883,10.1921
375.884,10.1854
376.883,10.1801
377.884,10.1737
378.884,10.1674
379.883,10.1616
380.883,10.1551
381.884,10.149
382.884,10.1424
383.883,10.1369
384.884,10.1309
385.883,10.1251
386.883,10.1192
387.884,10.1122
388.883,10.1065
389.883,10.101
390.884,10.0946
391.884,10.0893
392.883,10.0823
393.884,10.0769
394.884,10.0714
395.883,10.0649
396.883,10.0593
397.884,10.0524
398.884,10.0468
399.884,10.0402
400.883,10.035
401.883,10.0287
402.883,10.023
403.883,10.0178
404.884,10.0109
405.884,10.0056
406.883,10.0002
407.884,9.9948
408.885,9.9887
409.885,9.9831
410.885,9.9776
411.885,9.9724
412.884,9.9672
413.884,9.9614
414.885,9.9556
415.885,9.9497
416.885,9.9456
417.885,9.9383
418.885,9.9346
419.884,9.9276
420.884,9.921
421.884,9.9157
422.885,9.911
423.885,9.9065
424.884,9.9
425.885,9.8942
426.885,9.889
427.885,9.8835
428.885,9.8772
429.885,9.8716
430.885,9.8649
431.884,9.8597
432.884,9.8535
433.885,9.8474
434.885,9.8418
435.885,9.8364
436.884,9.8301
437.884,9.8243
438.885,9.8192
439.885,9.8134
440.885,9.8069
441.884,9.7999
442.885,9.7947
443.885,9.7892
444.884,9.7826
445.884,9.7769
446.885,9.7723
447.885,9.7659
448.885,9.7591
449.885,9.7542
450.885,9.7469
451.885,9.7411
452.885,9.736
453.885,9.7293
454.885,9.7236
455.885,9.7184
456.885,9.7119
457.884,9.7058
458.884,9.7013
459.885,9.6959
460.885,9.6896
461.885,9.6837
462.885,9.6783
463.885,9.6729
464.885,9.6672
465.885,9.6612
466.885,9.656
467.885,9.6494
468.885,9.6439
469.885,9.6384
470.885,9.6331
471.885,9.6275
472.884,9.6223
473.884,9.6173
474.884,9.6112
475.885,9.6053
476.885,9.6005
477.885,9.5942
478.884,9.5893
479.884,9.5836
480.884,9.578
481.884,9.5736
482.885,9.5669
483.885,9.5618
484.885,9.5553
485.885,9.5501
486.885,9.5452
487.885,9.5397
488.885,9.5344
489.885,9.5284
490.885,9.5234
491.884,9.5176
492.884,9.513
493.884,9.5083
494.884,9.5023
495.885,9.4969
496.885,9.4909
497.885,9.4863
498.885,9.4806
499.885,9.4752
500.885,9.4701
501.885,9.4652
502.885,9.4597
503.885,9.4554
504.885,9.4497
505.885,9.4446
506.885,9.4394
507.884,9.4343
508.884,9.4293
509.884,9.4233
510.884,9.418
511.884,9.4128
512.884,9.4084
513.884,9.4023
514.885,9.3973
515.885,9.3921
516.885,9.3856
517.885,9.3807
518.885,9.3758
519.884,9.3691
520.884,9.3636
521.884,9.3585
522.884,9.353
523.884,9.3475
524.884,9.3412
525.884,9.3364
526.884,9.3312
527.884,9.3256
528.885,9.3194
529.885,9.3144
530.885,9.3093
531.885,9.3039
532.885,9.2977
533.885,9.2924
534.884,9.2862
535.884,9.2812
536.884,9.274
537.884,9.271
538.884,9.2651
539.884,9.2593
540.885,9.2546
541.885,9.2482
542.885,9.2431
543.885,9.238
544.885,9.2323
545.885,9.2266
546.885,9.2209
547.885,9.2159
548.885,9.2107
549.885,9.2046
550.885,9.1995
551.885,9.1944
552.885,9.1888
553.885,9.183
554.885,9.1781
555.885,9.1725
556.885,9.1679
557.885,9.163
558.885,9.1577
559.885,9.1529
560.885,9.1472
561.885,9.142
562.885,9.1377
563.885,9.1324
564.885,9.1278
565.885,9.1224
566.885,9.1176
567.885,9.1126
568.885,9.1069
569.885,9.1014
570.885,9.0965
571.885,9.092
572.885,9.0872
573.885,9.0823
574.885,9.077
575.885,9.0715
576.885,9.0671
577.885,9.0603
578.885,9.0575
579.885,9.0516
580.885,9.0463
581.884,9.0417
582.885,9.0378
583.885,9.033
584.884,9.0277
585.884,9.0229
586.884,9.0184
587.884,9.0133
588.884,9.0093
589.884,9.0052
590.884,9
591.884,8.9949
592.884,8.9903
593.884,8.9854
594.885,8.98
595.884,8.9756
596.885,8.9704
597.885,8.9654
598.885,8.9606
599.885,8.9552
600.885,8.9497
601.885,8.9448
602.884,8.9396
603.885,8.9345
604.884,8.9289
605.885,8.925
606.885,8.9195
607.885,8.9151
608.884,8.9088
609.885,8.9047
610.884,8.8991
611.885,8.8947
612.884,8.8893
613.885,8.8846
614.885,8.8797
615.884,8.8742
616.885,8.8698
617.885,8.8644
618.884,8.8595
619.885,8.8546
620.884,8.849
621.884,8.8436
622.885,8.8387
623.884,8.8341
624.884,8.8287
625.885,8.8241
626.885,8.8191
627.885,8.8134
628.885,8.8088
629.884,8.8038
630.885,8.7994
631.885,8.7944
632.884,8.7895
633.885,8.7848
634.884,8.7795
635.885,8.7749
636.885,8.7699
637.885,8.7652
638.885,8.7611
639.884,8.7551
640.884,8.7504
641.885,8.7456
642.885,8.7418
643.884,8.7356
644.885,8.7312
645.884,8.7263
646.885,8.7214
647.885,8.7172
648.884,8.7116
649.885,8.707
650.885,8.7029
651.884,8.6976
652.885,8.6933
653.885,8.6881
654.885,8.6841
655.885,8.6791
656.885,8.673
657.885,8.6693
658.884,8.6632
659.885,8.659
660.885,8.6541
661.884,8.6502
662.885,8.6446
663.885,8.6399
664.885,8.6346
665.885,8.6301
666.885,8.6269
667.884,8.6205
668.884,8.6167
669.885,8.6114
670.885,8.6073
671.885,8.6023
672.884,8.5979
673.885,8.5926
674.885,8.588
675.885,8.5838
676.884,8.5776
677.884,8.574
678.884,8.5683
679.885,8.564
680.885,8.5592
681.885,8.5546
682.884,8.5501
683.885,8.5451
684.885,8.54
685.884,8.5349
686.885,8.5297
687.885,8.5245
688.884,8.52
689.885,8.5146
690.885,8.5103
691.885,8.5054
692.885,8.5006
693.885,8.4955
694.884,8.4906
695.885,8.4861
696.885,8.4816
697.885,8.4767
698.884,8.4712
699.884,8.4668
700.884,8.4619
701.884,8.4571
702.885,8.452
703.884,8.4477
704.885,8.4418
705.884,8.4371
706.885,8.4335
707.885,8.4275
708.885,8.423
709.885,8.4186
710.885,8.4135
711.885,8.4084
712.885,8.4032
713.885,8.3992
714.884,8.3944
715.885,8.39
716.885,8.3857
717.885,8.3815
718.885,8.3766
719.884,8.3723
720.885,8.3673
721.884,8.3625
722.885,8.3586
723.885,8.3542
724.884,8.3501
725.885,8.3454
726.884,8.341
727.885,8.3363
728.884,8.3324
729.885,8.3274
730.884,8.3229
731.885,8.3176
732.884,8.3141
733.885,8.3097
734.884,8.3056
735.885,8.3012
736.884,8.2973
737.885,8.2923
738.885,8.288
739.884,8.2847
740.885,8.28
741.884,8.2752
742.885,8.2709
743.884,8.2659
744.884,8.2614
745.885,8.2561
746.884,8.251
747.885,8.2463
