t,V
0,14.8358
1.051,14.8246
2.072,14.8114
3.072,14.7985
4.072,14.7857
5.072,14.7724
6.073,14.7586
7.072,14.7467
8.072,14.733
9.072,14.7205
10.073,14.7064
11.072,14.6927
12.072,14.6785
13.072,14.6649
14.073,14.6509
15.072,14.6355
16.072,14.6218
17.072,14.607
18.073,14.593
19.073,14.5794
20.073,14.5643
21.072,14.5511
22.072,14.5351
23.072,14.5217
24.073,14.5076
25.073,14.4944
26.073,14.4788
27.073,14.4644
28.073,14.4504
29.072,14.4365
30.072,14.4219
31.072,14.4071
32.073,14.3936
33.073,14.3799
34.073,14.3658
35.073,14.352
36.073,14.3384
37.073,14.3246
38.072,14.3116
39.072,14.2982
40.073,14.2824
41.073,14.2702
42.073,14.2567
43.072,14.2434
44.072,14.2287
45.072,14.2161
46.073,14.202
47.073,14.1881
48.073,14.174
49.073,14.1609
50.072,14.1477
51.072,14.1346
52.072,14.1214
53.073,14.1079
54.073,14.094
55.073,14.081
56.073,14.0678
57.072,14.054
58.072,14.0406
59.073,14.0273
60.073,14.0145
61.072,14.0016
62.072,13.9891
63.072,13.9758
64.073,13.9621
65.073,13.949
66.073,13.9361
67.072,13.9228
68.073,13.9096
69.073,13.8955
70.072,13.8831
71.072,13.8691
72.072,13.8556
73.072,13.8428
74.073,13.83
75.073,13.8166
76.073,13.8036
77.073,13.7893
78.072,13.7765
79.072,13.7627
80.073,13.7496
81.073,13.7368
82.073,13.723
83.072,13.7103
84.072,13.6969
85.072,13.6841
86.073,13.6709
87.073,13.6578
88.073,13.646
89.073,13.6336
90.073,13.6211
91.073,13.6084
92.073,13.5961
93.073,13.584
94.072,13.5714
95.072,13.5594
96.072,13.5463
97.072,13.5346
98.072,13.5221
99.072,13.5102
100.073,13.4974
101.073,13.4845
102.072,13.4733
103.073,13.4599
104.073,13.4485
105.073,13.4355
106.072,13.4245
107.073,13.4115
108.072,13.3997
109.072,13.3862
110.072,13.3741
111.072,13.3612
112.072,13.349
113.072,13.3352
114.072,13.3239
115.072,13.3122
116.072,13.2985
117.072,13.2864
118.072,13.2737
119.072,13.2619
120.072,13.2501
121.072,13.2385
122.072,13.2257
123.073,13.2134
124.072,13.2018
125.073,13.1902
126.072,13.178
127.073,13.1666
128.073,13.1548
129.072,13.1412
130.072,13.1303
131.072,13.119
132.072,13.1067
133.072,13.0946
134.073,13.0833
135.073,13.0712
136.073,13.0596
137.072,13.0481
138.073,13.0361
139.073,13.0244
140.073,13.0131
141.073,13.0015
142.072,12.9888
143.072,12.9781
144.072,12.9658
145.072,12.9539
146.073,12.9424
147.073,12.9301
148.073,12.9191
149.073,12.9082
150.072,12.8964
151.072,12.8844
152.072,12.8728
153.073,12.8597
154.073,12.8486
155.073,12.8368
156.072,12.8262
157.073,12.8139
158.073,12.8034
159.073,12.7917
160.072,12.7807
161.072,12.7688
162.073,12.7575
163.073,12.7461
164.073,12.7345
165.073,12.7221
166.074,12.7107
167.073,12.7011
168.073,12.6882
169.073,12.6774
170.073,12.6656
171.073,12.6539
172.072,12.643
173.072,12.6326
174.072,12.6201
175.073,12.6092
176.073,12.5975
177.073,12.5864
178.072,12.5754
179.072,12.5647
180.072,12.5525
181.073,12.5419
182.073,12.5304
183.073,12.5193
184.072,12.5087
185.073,12.4969
186.073,12.4866
187.073,12.4748
188.073,12.4637
189.072,12.4535
190.072,12.4419
191.073,12.4298
192.073,12.4186
193.072,12.4086
194.073,12.3983
195.073,12.3862
196.073,12.3748
197.072,12.3648
198.073,12.3531
199.073,12.3417
200.073,12.3313
201.072,12.321
202.072,12.3102
203.073,12.2991
204.073,12.2878
205.073,12.2765
206.072,12.2661
207.073,12.2547
208.073,12.2443
209.073,12.2331
210.072,12.2227
211.073,12.2118
212.073,12.2005
213.073,12.1904
214.072,12.1796
215.072,12.169
216.072,12.1579
217.072,12.1474
218.072,12.136
219.073,12.1252
220.073,12.1146
221.072,12.1041
222.072,12.0943
223.073,12.0828
224.073,12.0729
225.073,12.0621
226.072,12.0512
227.072,12.0406
228.072,12.0301
229.073,12.0197
230.073,12.0086
231.072,11.999
232.073,11.9876
233.073,11.9777
234.072,11.9673
235.072,11.9563
236.072,11.9462
237.073,11.9358
238.073,11.9255
239.072,11.9144
240.073,11.9053
241.073,11.8943
242.073,11.8844
243.072,11.8743
244.073,11.864
245.073,11.8537
246.072,11.8435
247.072,11.8335
248.073,11.823
249.073,11.812
250.072,11.8022
251.072,11.7922
252.073,11.7817
253.073,11.7723
254.072,11.7621
255.072,11.7513
256.072,11.7417
257.073,11.7317
258.073,11.7197
259.072,11.7104
260.073,11.7001
261.073,11.6903
262.072,11.6803
263.072,11.6711
264.073,11.6606
265.073,11.6506
266.073,11.6395
267.072,11.6311
268.072,11.6198
269.073,11.6092
270.073,11.5996
271.072,11.589
272.073,11.5784
273.073,11.569
274.072,11.5582
275.072,11.5481
276.073,11.5376
277.073,11.5272
278.072,11.5183
279.073,11.5077
280.073,11.4981
281.072,11.4885
282.073,11.4782
283.073,11.4683
284.072,11.459
285.072,11.4495
286.073,11.4394
287.073,11.4299
288.072,11.4199
289.073,11.4103
290.072,11.3995
291.072,11.3904
292.073,11.3815
293.072,11.3712
294.072,11.3621
295.073,11.3529
296.073,11.3435
297.073,11.3331
298.072,11.3227
299.073,11.3145
300.073,11.3042
301.072,11.2943
302.073,11.2851
303.073,11.2766
304.073,11.2671
305.073,11.2572
306.072,11.2472
307.072,11.2376
308.073,11.2288
309.073,11.2192
310.072,11.209
311.073,11.2007
312.072,11.191
313.073,11.1818
314.073,11.1727
315.072,11.1625
316.073,11.1536
317.072,11.1448
318.073,11.1339
319.073,11.1249
320.072,11.1152
321.073,11.106
322.073,11.0967
323.072,11.0876
324.073,11.0788
325.073,11.0696
326.072,11.0594
327.073,11.0512
328.072,11.0408
329.073,11.0319
330.073,11.0231
331.072,11.0135
332.073,11.0039
333.072,10.9944
334.073,10.9852
335.073,10.9765
336.073,10.9673
337.073,10.9582
338.072,10.9491
339.073,10.9399
340.072,10.9301
341.073,10.9214
342.073,10.9126
343.072,10.9034
344.073,10.895
345.073,10.8844
346.073,10.8766
347.073,10.8664
348.073,10.8571
349.073,10.8485
350.073,10.8386
351.073,10.8299
352.072,10.8199
353.072,10.8109
354.073,10.8018
355.072,10.792
356.073,10.784
357.073,10.7746
358.073,10.7653
359.073,10.7566
360.073,10.7468
361.072,10.7377
