t,V
0,13.5009
0.974,13.4865
1.949,13.4713
2.926,13.4598
3.926,13.4471
4.927,13.4352
5.926,13.4235
6.927,13.4106
7.927,13.3984
8.926,13.3883
9.927,13.3763
10.927,13.366
11.927,13.3546
12.927,13.3449
13.926,13.3354
14.927,13.3256
15.926,13.3166
16.927,13.3067
17.926,13.297
18.927,13.2874
19.926,13.2788
20.927,13.269
21.926,13.2592
22.927,13.2502
23.926,13.2408
24.927,13.2326
25.927,13.2245
26.926,13.2159
27.927,13.2074
28.926,13.1986
29.926,13.1906
30.927,13.1835
31.927,13.1752
32.926,13.1666
33.927,13.1585
34.926,13.1501
35.927,13.1435
36.926,13.1363
37.927,13.1283
38.927,13.1215
39.926,13.114
40.927,13.1071
41.926,13.1003
42.927,13.0934
43.927,13.0872
44.926,13.0802
45.927,13.0732
46.927,13.0666
47.927,13.0597
48.927,13.0531
49.927,13.0468
50.926,13.0391
51.927,13.0326
52.926,13.0272
53.927,13.0195
54.926,13.0129
55.927,13.0064
56.927,13.0002
57.927,12.9935
58.926,12.9876
59.927,12.9805
60.926,12.9751
61.927,12.9671
62.926,12.9615
63.927,12.9544
64.926,12.9476
65.927,12.9419
66.927,12.9357
67.927,12.9289
68.927,12.9227
69.927,12.9168
70.927,12.9103
71.926,12.9049
72.926,12.8978
73.927,12.8914
74.926,12.8845
75.927,12.8785
76.926,12.8709
77.926,12.8651
78.927,12.8588
79.926,12.8528
80.927,12.8464
81.927,12.8394
82.927,12.833
83.927,12.8266
84.926,12.8204
85.927,12.8141
86.926,12.807
87.927,12.8
88.927,12.7926
89.927,12.7864
90.927,12.7814
91.926,12.7745
92.927,12.7682
93.926,12.7621
94.927,12.7558
95.926,12.75
96.927,12.7439
97.926,12.7375
98.927,12.732
99.927,12.7272
100.926,12.7206
101.927,12.7147
102.927,12.7092
103.926,12.7037
104.926,12.6975
105.927,12.691
106.927,12.6851
107.926,12.6792
108.927,12.672
109.927,12.6657
110.927,12.6598
111.926,12.6539
112.927,12.6468
113.927,12.6413
114.926,12.6361
