t,V
0,13.2087
1,13.1892
1.999,13.1702
3,13.1506
4,13.131
4.999,13.1108
6,13.0913
6.999,13.0712
7.999,13.0504
9,13.0291
10,13.0082
11,12.9872
11.999,12.9683
13,12.9474
14,12.9269
15,12.9058
16,12.8855
16.999,12.865
18,12.8443
19,12.8243
20,12.8038
21,12.7829
21.999,12.7627
22.999,12.7423
24,12.7213
25.001,12.7008
25.999,12.6803
26.999,12.6604
28,12.6394
28.999,12.6203
30,12.5987
31.001,12.579
31.999,12.5593
33,12.5387
34,12.518
34.999,12.4996
35.999,12.4782
37,12.4581
38,12.4385
39,12.4187
39.999,12.3997
41,12.3783
41.999,12.3591
43,12.3397
44,12.3199
45,12.3009
45.999,12.2813
46.999,12.2621
47.999,12.2423
48.999,12.2233
50,12.2029
51,12.1836
52,12.1647
53,12.146
53.999,12.1267
55,12.1067
55.999,12.088
57,12.0685
58,12.0493
58.999,12.0313
59.999,12.0122
61,11.994
61.999,11.9742
62.999,11.9553
64,11.9361
64.999,11.9178
66,11.8973
66.999,11.8807
68,11.8605
68.999,11.8421
70,11.8244
71.001,11.8049
71.999,11.7871
73,11.769
73.999,11.7499
74.999,11.7308
75.999,11.7127
77,11.6942
78,11.6758
79,11.6572
79.999,11.6388
80.999,11.6209
82,11.6022
82.999,11.5845
84,11.567
84.999,11.5491
85.999,11.5304
87,11.5118
88,11.4941
89,11.4764
89.999,11.4592
91,11.4411
92,11.4232
92.999,11.4064
94,11.3878
94.999,11.3699
95.999,11.353
96.999,11.3352
98,11.3168
99,11.299
99.999,11.282
101,11.2646
101.999,11.2473
102.999,11.2295
104,11.2117
105,11.1933
105.999,11.1769
106.999,11.1595
108,11.1413
109,11.1236
109.999,11.1072
110.999,11.0885
112,11.0715
113,11.0536
114,11.037
115,11.0191
116,11.0015
117,10.9839
118,10.9667
119,10.9494
119.999,10.9329
121,10.9153
122,10.8981
122.999,10.8823
124,10.8647
125,10.8473
126,10.8304
127,10.8138
127.999,10.797
129,10.7802
129.999,10.7642
131,10.7469
131.999,10.7305
132.999,10.7136
134,10.6976
134.999,10.6806
136,10.664
136.999,10.6479
137.999,10.631
138.999,10.6152
139.999,10.5993
140.999,10.5822
141.998,10.5661
142.998,10.5498
143.999,10.5332
144.998,10.5175
145.999,10.5014
146.999,10.485
147.999,10.4682
148.998,10.453
149.999,10.437
150.998,10.4211
151.998,10.4047
152.999,10.3884
153.999,10.3735
154.998,10.3573
155.999,10.3402
156.998,10.3256
157.998,10.3091
158.999,10.2937
159.998,10.2772
160.999,10.2614
161.999,10.2461
162.998,10.2302
163.998,10.215
164.999,10.1995
165.998,10.1838
166.999,10.1688
167.999,10.1529
168.998,10.1374
169.998,10.1221
170.999,10.1078
171.999,10.0922
172.998,10.0775
173.998,10.0625
174.999,10.0477
175.999,10.0313
176.998,10.0168
177.999,10.0018
179,9.9871
180,9.9712
181,9.957
182,9.9425
183,9.9277
184,9.9116
185,9.897
186,9.8816
187,9.8665
188,9.8517
188.999,9.8369
190,9.8201
190.999,9.8057
192,9.7895
192.999,9.7747
194,9.7597
195,9.7449
195.999,9.7304
197,9.7159
197.999,9.7009
199,9.6858
200,9.6705
200.999,9.6554
