Частота,Канал A
(kГц),(В)

0.00000000,1.66730400
0.02384186,1.14753500
0.04768372,0.77422590
0.07152557,0.23853120
0.09536743,0.01989357
0.11920929,0.00299568
0.14305115,0.00230673
0.16689301,0.00205483
0.19073486,0.00131494
0.21457672,0.00064579
0.23841858,0.00060984
0.26226044,0.00073298
0.28610229,0.00116615
0.30994415,0.00133682
0.33378601,0.00133115
0.35762787,0.00144376
0.38146973,0.00157263
0.40531158,0.00136855
0.42915344,0.00124098
0.45299530,0.00110395
0.47683716,0.00061107
0.50067902,0.00089341
0.52452087,0.00185501
0.54836273,0.00653087
0.57220459,0.01670124
0.59604645,0.02219660
0.61988831,0.02184367
0.64373016,0.01992493
0.66757202,0.01176434
0.69141388,0.00271012
0.71525574,0.00186911
0.73909760,0.00112751
0.76293945,0.00049722
0.78678131,0.00079984
0.81062317,0.00103501
0.83446503,0.00143479
0.85830688,0.00176334
0.88214874,0.00148464
0.90599060,0.00119475
0.92983246,0.00104168
0.95367432,0.00063242
0.97751617,0.00024726
1.00135803,0.00017231
1.02519989,0.00047533
1.04904175,0.00104107
1.07288361,0.00142255
1.09672546,0.00163805
1.12056732,0.00228424
1.14440918,0.00244329
1.16825104,0.00209724
1.19209290,0.00191341
1.21593475,0.00137211
1.23977661,0.00147888
1.26361847,0.00242964
1.28746033,0.00281756
1.31130219,0.00298580
1.33514404,0.00316602
1.35898590,0.00235755
1.38282776,0.00198777
1.40666962,0.00194451
1.43051147,0.00124832
1.45435333,0.00078708
1.47819519,0.00049853
1.50203705,0.00039820
1.52587891,0.00068442
1.54972076,0.00085784
1.57356262,0.00094535
1.59740448,0.00132889
1.62124634,0.00145593
1.64508820,0.00128751
1.66893005,0.00109562
1.69277191,0.00078949
1.71661377,0.00068218
1.74045563,0.00116737
1.76429749,0.00171475
1.78813934,0.00374810
1.81198120,0.00679500
1.83582306,0.00737887
1.85966492,0.00645515
1.88350677,0.00497776
1.90734863,0.00250146
1.93119049,0.00252217
1.95503235,0.00239403
1.97887421,0.00117634
2.00271606,0.00086836
2.02655792,0.00109596
2.05039978,0.00116135
2.07424164,0.00151583
2.09808350,0.00165875
2.12192535,0.00146666
2.14576721,0.00141583
2.16960907,0.00112034
2.19345093,0.00068010
2.21729279,0.00053341
2.24113464,0.00055392
2.26497650,0.00081939
2.28881836,0.00125794
2.31266022,0.00135482
2.33650208,0.00163297
2.36034393,0.00215769
2.38418579,0.00199527
2.40802765,0.00170397
2.43186951,0.00148574
2.45571136,0.00101797
2.47955322,0.00241741
2.50339508,0.00405734
2.52723694,0.00454094
2.55107880,0.00504757
2.57492065,0.00470172
2.59876251,0.00303800
2.62260437,0.00230701
2.64644623,0.00189413
2.67028809,0.00118139
2.69412994,0.00092446
2.71797180,0.00075247
2.74181366,0.00070473
2.76565552,0.00093294
2.78949738,0.00098555
2.81333923,0.00106439
2.83718109,0.00139100
2.86102295,0.00132312
2.88486481,0.00110808
2.90870667,0.00099021
2.93254852,0.00071304
2.95639038,0.00045719
2.98023224,0.00070590
3.00407410,0.00130936
3.02791595,0.00308619
3.05175781,0.00476679
3.07559967,0.00453717
3.09944153,0.00382601
3.12328339,0.00418695
3.14712524,0.00462528
3.17096710,0.00493974
3.19480896,0.00358070
3.21865082,0.00121040
3.24249268,0.00083214
3.26633453,0.00109736
3.29017639,0.00131612
3.31401825,0.00156493
3.33786011,0.00142964
3.36170197,0.00123340
3.38554382,0.00125790
3.40938568,0.00096330
3.43322754,0.00059156
3.45706940,0.00034578
3.48091125,0.00027976
3.50475311,0.00050425
3.52859497,0.00096244
3.55243683,0.00115832
3.57627869,0.00162523
3.60012054,0.00197921
3.62396240,0.00172627
3.64780426,0.00147720
3.67164612,0.00119679
3.69548798,0.00188867
3.71932983,0.00549820
3.74317169,0.00807306
3.76701355,0.00858796
3.79085541,0.00902079
3.81469727,0.00685131
3.83853912,0.00339271
3.86238098,0.00223858
3.88622284,0.00162287
3.91006470,0.00086587
3.93390656,0.00059193
3.95774841,0.00037268
3.98159027,0.00052073
4.00543213,0.00084012
4.02927399,0.00099907
4.05311584,0.00109308
4.07695770,0.00131677
4.10079956,0.00103576
4.12464142,0.00080469
4.14848328,0.00056444
4.17232513,0.00031733
4.19616699,0.00033720
4.22000885,0.00074346
4.24385071,0.00113605
4.26769257,0.00253772
4.29153442,0.00307013
4.31537628,0.00322925
4.33921814,0.00916016
4.36306000,0.01355881
4.38690186,0.01465043
4.41074371,0.01423074
4.43458557,0.00896373
4.45842743,0.00267402
4.48226929,0.00138662
4.50611115,0.00128787
4.52995300,0.00159381
4.55379486,0.00175026
4.57763672,0.00170137
4.60147858,0.00142499
4.62532043,0.00141583
4.64916229,0.00092477
4.67300415,0.00070760
4.69684601,0.00043243
4.72068787,0.00068466
4.74452972,0.00066943
4.76837158,0.00134299
4.79221344,0.00095183
4.81605530,0.00181715
4.83989716,0.00161293
4.86373901,0.00167235
4.88758087,0.00147561
4.91142273,0.05155369
4.93526459,0.38596480
4.95910645,0.96339690
4.98294830,1.23164700
5.00679016,1.24338600
5.03063202,1.13903400
5.05447388,0.64367660
5.07831573,0.14997950
5.10215759,0.00963707
5.12599945,0.00140249
5.14984131,0.00079780
5.17368317,0.00030993
5.19752502,0.00086241
5.22136688,0.00087567
5.24520874,0.00140944
5.26905060,0.00109995
5.29289246,0.00135702
5.31673431,0.00120038
5.34057617,0.00102665
5.36441803,0.00078020
5.38825989,0.00070483
5.41210175,0.00042313
5.43594360,0.00055381
5.45978546,0.00063796
5.48362732,0.00134140
5.50746918,0.00240761
5.53131104,0.00335291
5.55515289,0.00778883
5.57899475,0.01492443
5.60283661,0.01697817
5.62667847,0.01645765
5.65052032,0.01438401
5.67436218,0.00741014
5.69820404,0.00181632
5.72204590,0.00152102
5.74588776,0.00165570
5.76972961,0.00175079
5.79357147,0.00166465
5.81741333,0.00120332
5.84125519,0.00115102
5.86509705,0.00105883
5.88893890,0.00068929
5.91278076,0.00043484
5.93662262,0.00035324
5.96046448,0.00047869
5.98430634,0.00090366
6.00814819,0.00114753
6.03199005,0.00126574
6.05583191,0.00160860
6.07967377,0.00153566
6.10351563,0.00134237
6.12735748,0.00129624
6.15119934,0.00125844
6.17504120,0.00369808
6.19888306,0.00693580
6.22272491,0.00753520
6.24656677,0.00677139
6.27040863,0.00511760
6.29425049,0.00317360
6.31809235,0.00390705
6.34193420,0.00364162
6.36577606,0.00197863
6.38961792,0.00099315
6.41345978,0.00070171
6.43730164,0.00064490
6.46114349,0.00104634
6.48498535,0.00121247
6.50882721,0.00128351
6.53266907,0.00152159
6.55651093,0.00153871
6.58035278,0.00138937
6.60419464,0.00137360
6.62803650,0.00107301
6.65187836,0.00059159
6.67572021,0.00058891
6.69956207,0.00089051
6.72340393,0.00142126
6.74724579,0.00222072
6.77108765,0.00265283
6.79492950,0.00441793
6.81877136,0.00613397
6.84261322,0.00575289
6.86645508,0.00527045
6.89029694,0.00400628
6.91413879,0.00151672
6.93798065,0.00090136
6.96182251,0.00139591
6.98566437,0.00161231
7.00950623,0.00206729
7.03334808,0.00195845
7.05718994,0.00158293
7.08103180,0.00157136
7.10487366,0.00128375
7.12871552,0.00087514
7.15255737,0.00062164
7.17639923,0.00039462
7.20024109,0.00057548
7.22408295,0.00105938
7.24792480,0.00136989
7.27176666,0.00164061
7.29560852,0.00197220
7.31945038,0.00171696
7.34329224,0.00132757
7.36713409,0.00105864
7.39097595,0.00088259
7.41481781,0.00230316
7.43865967,0.00371145
7.46250153,0.00341953
7.48634338,0.00335848
7.51018524,0.00434867
7.53402710,0.00536114
7.55786896,0.00603217
7.58171082,0.00471671
7.60555267,0.00248901
7.62939453,0.00161153
7.65323639,0.00098549
7.67707825,0.00050964
7.70092010,0.00088794
7.72476196,0.00110875
7.74860382,0.00132497
7.77244568,0.00150780
7.79628754,0.00127032
7.82012939,0.00095646
7.84397125,0.00074312
7.86781311,0.00047932
7.89165497,0.00028218
7.91549683,0.00040994
7.93933868,0.00078984
7.96318054,0.00158728
7.98702240,0.00216690
8.01086426,0.00242733
8.03470612,0.00360546
8.05854797,0.00421487
8.08238983,0.00367490
8.10623169,0.00335598
8.13007355,0.00231308
8.15391541,0.00111032
8.17775726,0.00160842
8.20159912,0.00207543
8.22544098,0.00230878
8.24928284,0.00260783
8.27312469,0.00218471
8.29696655,0.00160218
8.32080841,0.00134545
8.34465027,0.00087099
8.36849213,0.00047663
8.39233398,0.00036650
8.41617584,0.00048386
8.44001770,0.00088571
8.46385956,0.00120264
8.48770142,0.00123120
8.51154327,0.00142801
8.53538513,0.00145694
8.55922699,0.00109408
8.58306885,0.00098232
8.60691071,0.00073709
8.63075256,0.00039149
8.65459442,0.00157687
8.67843628,0.00217821
8.70227814,0.00256000
8.72612000,0.00705371
8.74996185,0.00990775
8.77380371,0.01101507
8.79764557,0.01085689
8.82148743,0.00671723
8.84532928,0.00253837
8.86917114,0.00135252
8.89301300,0.00082016
8.91685486,0.00080902
8.94069672,0.00117301
8.96453857,0.00127028
8.98838043,0.00146498
9.01222229,0.00149278
9.03606415,0.00117925
9.05990601,0.00100349
9.08374786,0.00077406
9.10758972,0.00029799
9.13143158,0.00030627
9.15527344,0.00043625
9.17911530,0.00067523
9.20295715,0.00129959
9.22679901,0.00184220
9.25064087,0.00226951
9.27448273,0.00323494
9.29832458,0.00324629
9.32216644,0.00275479
9.34600830,0.00229036
9.36985016,0.00131658
9.39369202,0.00066852
9.41753387,0.00167152
9.44137573,0.00209886
9.46521759,0.00249495
9.48905945,0.00282508
9.51290131,0.00209370
9.53674316,0.00196424
9.56058502,0.00169421
9.58442688,0.00113580
9.60826874,0.00058498
9.63211060,0.00050602
9.65595245,0.00021005
9.67979431,0.00074821
9.70363617,0.00094456
9.72747803,0.00137915
9.75131989,0.00142589
9.77516174,0.00166285
9.79900360,0.00085543
9.82284546,0.00105364
9.84668732,0.00046977
9.87052917,0.00092430
9.89437103,0.00195917
9.91821289,0.07257366
9.94205475,0.38416160
9.96589661,0.76609180
9.98973846,0.87757080
10.01358032,0.87667440
10.03742218,0.73437380
10.06126404,0.33661740
10.08510590,0.05665520
10.10894775,0.00290849
10.13278961,0.00045059
10.15663147,0.00103512
10.18047333,0.00084128
10.20431519,0.00134724
10.22815704,0.00125950
10.25199890,0.00161006
10.27584076,0.00104864
10.29968262,0.00116095
10.32352448,0.00069231
10.34736633,0.00062073
10.37120819,0.00048104
10.39505005,0.00084885
10.41889191,0.00115733
10.44273376,0.00178575
10.46657562,0.00169493
10.49041748,0.00202837
10.51425934,0.00250440
10.53810120,0.00248866
10.56194305,0.00225964
10.58578491,0.00196908
10.60962677,0.00116176
10.63346863,0.00160068
10.65731049,0.00248192
10.68115234,0.00262958
10.70499420,0.00319754
10.72883606,0.00296848
10.75267792,0.00207663
10.77651978,0.00159159
10.80036163,0.00109940
10.82420349,0.00040420
10.84804535,0.00020854
10.87188721,0.00011948
10.89572906,0.00041813
10.91957092,0.00080720
10.94341278,0.00101123
10.96725464,0.00104480
10.99109650,0.00130580
11.01493835,0.00118859
11.03878021,0.00097752
11.06262207,0.00076020
11.08646393,0.00044626
11.11030579,0.00070625
11.13414764,0.00135000
11.15798950,0.00297825
11.18183136,0.00786406
11.20567322,0.01175031
11.22951508,0.01169635
11.25335693,0.01055223
11.27719879,0.00713620
11.30104065,0.00229829
11.32488251,0.00207040
11.34872437,0.00166624
11.37256622,0.00098069
11.39640808,0.00114702
11.42024994,0.00125822
11.44409180,0.00137278
11.46793365,0.00150028
11.49177551,0.00124462
11.51561737,0.00105362
11.53945923,0.00108983
11.56330109,0.00087436
11.58714294,0.00067375
11.61098480,0.00080549
11.63482666,0.00085329
11.65866852,0.00102822
11.68251038,0.00129674
11.70635223,0.00132724
11.73019409,0.00179785
11.75403595,0.00218966
11.77787781,0.00193639
11.80171967,0.00176292
11.82556152,0.00133967
11.84940338,0.00098314
11.87324524,0.00250448
11.89708710,0.00356470
11.92092896,0.00391384
11.94477081,0.00428328
11.96861267,0.00349315
11.99245453,0.00236231
12.01629639,0.00206145
12.04013824,0.00139888
12.06398010,0.00076426
12.08782196,0.00061094
12.11166382,0.00063014
12.13550568,0.00078257
12.15934753,0.00095460
12.18318939,0.00090898
12.20703125,0.00103337
12.23087311,0.00103700
12.25471497,0.00071721
12.27855682,0.00061942
12.30239868,0.00064944
12.32624054,0.00047560
12.35008240,0.00056334
12.37392426,0.00099060
12.39776611,0.00223273
12.42160797,0.00470033
12.44544983,0.00580360
12.46929169,0.00496403
12.49313354,0.00397785
12.51697540,0.00286313
12.54081726,0.00319545
12.56465912,0.00328718
12.58850098,0.00185203
12.61234283,0.00073188
12.63618469,0.00110048
12.66002655,0.00120711
12.68386841,0.00132585
12.70771027,0.00151160
12.73155212,0.00125176
12.75539398,0.00125952
12.77923584,0.00127459
12.80307770,0.00099418
12.82691956,0.00084365
12.85076141,0.00064484
12.87460327,0.00064924
12.89844513,0.00112464
12.92228699,0.00147471
12.94612885,0.00174701
12.96997070,0.00230304
12.99381256,0.00220085
13.01765442,0.00165620
13.04149628,0.00130733
13.06533813,0.00080935
13.08917999,0.00214088
13.11302185,0.00467204
13.13686371,0.00564149
13.16070557,0.00603818
13.18454742,0.00593693
13.20838928,0.00395561
13.23223114,0.00256324
13.25607300,0.00219185
13.27991486,0.00129532
13.30375671,0.00068516
13.32759857,0.00044050
13.35144043,0.00025259
13.37528229,0.00065017
13.39912415,0.00107382
13.42296600,0.00125926
13.44680786,0.00151915
13.47064972,0.00141216
13.49449158,0.00098108
13.51833344,0.00073383
13.54217529,0.00043622
13.56601715,0.00037986
13.58985901,0.00075443
13.61370087,0.00111147
13.63754272,0.00215979
13.66138458,0.00372569
13.68522644,0.00374184
13.70906830,0.00296908
13.73291016,0.00478289
13.75675201,0.00608464
13.78059387,0.00685340
13.80443573,0.00586359
13.82827759,0.00264226
13.85211945,0.00097252
