Частота,Канал A
(kГц),(В)

0.00000000,0.27006120
0.02384186,0.18592900
0.04768372,0.12557770
0.07152557,0.03891737
0.09536743,0.00349944
0.11920929,0.00013505
0.14305115,0.00012528
0.16689301,0.00011109
0.19073486,0.00003157
0.21457672,0.00003300
0.23841858,0.00005263
0.26226044,0.00003213
0.28610229,0.00004723
0.30994415,0.00012231
0.33378601,0.00034275
0.35762787,0.00052600
0.38146973,0.00056929
0.40531158,0.00053152
0.42915344,0.00037353
0.45299530,0.00014805
0.47683716,0.00014382
0.50067902,0.00014325
0.52452087,0.00013229
0.54836273,0.00013406
0.57220459,0.00035758
0.59604645,0.00051695
0.61988831,0.00049341
0.64373016,0.00043908
0.66757202,0.00022296
0.69141388,0.00005269
0.71525574,0.00003216
0.73909760,0.00008204
0.76293945,0.00010469
0.78678131,0.00012156
0.81062317,0.00010078
0.83446503,0.00010193
0.85830688,0.00012785
0.88214874,0.00012053
0.90599060,0.00011106
0.92983246,0.00030424
0.95367432,0.00097468
0.97751617,0.00139115
1.00135803,0.00138945
1.02519989,0.00129792
1.04904175,0.00084295
1.07288361,0.00027729
1.09672546,0.00012461
1.12056732,0.00012112
1.14440918,0.00010724
1.16825104,0.00007617
1.19209290,0.00003474
1.21593475,0.00005350
1.23977661,0.00005233
1.26361847,0.00002579
1.28746033,0.00002918
1.31130219,0.00009788
1.33514404,0.00028958
1.35898590,0.00046941
1.38282776,0.00050878
1.40666962,0.00048151
1.43051147,0.00028332
1.45435333,0.00006728
1.47819519,0.00010801
1.50203705,0.00013715
1.52587891,0.00014156
1.54972076,0.00012994
1.57356262,0.00035797
1.59740448,0.00052252
1.62124634,0.00055603
1.64508820,0.00050448
1.66893005,0.00031206
1.69277191,0.00011218
1.71661377,0.00006740
1.74045563,0.00008252
1.76429749,0.00010829
1.78813934,0.00010475
1.81198120,0.00006524
1.83582306,0.00007664
1.85966492,0.00009411
1.88350677,0.00009942
1.90734863,0.00008831
1.93119049,0.00071799
1.95503235,0.00203558
1.97887421,0.00277798
2.00271606,0.00277552
2.02655792,0.00257399
2.05039978,0.00163568
2.07424164,0.00051658
2.09808350,0.00016982
2.12192535,0.00017098
2.14576721,0.00015055
2.16960907,0.00008542
2.19345093,0.00002379
2.21729279,0.00005533
2.24113464,0.00004705
2.26497650,0.00004935
2.28881836,0.00006962
2.31266022,0.00010308
2.33650208,0.00029036
2.36034393,0.00045736
2.38418579,0.00048514
2.40802765,0.00045687
2.43186951,0.00028808
2.45571136,0.00012868
2.47955322,0.00013668
2.50339508,0.00013957
2.52723694,0.00013210
2.55107880,0.00014699
2.57492065,0.00037325
2.59876251,0.00050456
2.62260437,0.00050287
2.64644623,0.00045835
2.67028809,0.00026931
2.69412994,0.00011517
2.71797180,0.00011632
2.74181366,0.00013755
2.76565552,0.00012698
2.78949738,0.00009905
2.81333923,0.00008417
2.83718109,0.00013959
2.86102295,0.00015629
2.88486481,0.00015755
2.90870667,0.00013449
2.93254852,0.00107478
2.95639038,0.00299123
2.98023224,0.00402300
3.00407410,0.00404047
3.02791595,0.00373601
3.05175781,0.00224071
3.07559967,0.00056879
3.09944153,0.00006816
3.12328339,0.00006475
3.14712524,0.00007490
3.17096710,0.00007658
3.19480896,0.00004554
3.21865082,0.00000764
3.24249268,0.00000268
3.26633453,0.00003301
3.29017639,0.00006445
3.31401825,0.00011016
3.33786011,0.00027595
3.36170197,0.00043274
3.38554382,0.00048475
3.40938568,0.00046872
3.43322754,0.00029507
3.45706940,0.00010666
3.48091125,0.00008761
3.50475311,0.00009616
3.52859497,0.00008637
3.55243683,0.00011887
3.57627869,0.00035810
3.60012054,0.00048143
3.62396240,0.00048368
3.64780426,0.00042102
3.67164612,0.00021329
3.69548798,0.00006187
3.71932983,0.00006318
3.74317169,0.00009340
3.76701355,0.00011810
3.79085541,0.00015016
3.81469727,0.00012978
3.83853912,0.00010377
3.86238098,0.00008623
3.88622284,0.00009434
3.91006470,0.00022712
3.93390656,0.00155712
3.95774841,0.00401228
3.98159027,0.00522173
4.00543213,0.00522327
4.02927399,0.00479744
4.05311584,0.00280811
4.07695770,0.00073232
4.10079956,0.00014675
4.12464142,0.00013193
4.14848328,0.00011139
4.17232513,0.00008523
4.19616699,0.00005601
4.22000885,0.00003229
4.24385071,0.00003878
4.26769257,0.00005931
4.29153442,0.00004537
4.31537628,0.00009775
4.33921814,0.00026603
4.36306000,0.00037669
4.38690186,0.00039143
4.41074371,0.00033777
4.43458557,0.00015905
4.45842743,0.00003714
4.48226929,0.00008110
4.50611115,0.00011380
4.52995300,0.00013428
4.55379486,0.00017195
4.57763672,0.00035423
4.60147858,0.00044452
4.62532043,0.00043872
4.64916229,0.00038989
4.67300415,0.00024062
4.69684601,0.00014363
4.72068787,0.00017322
4.74452972,0.00018555
4.76837158,0.00015211
4.79221344,0.00011529
4.81605530,0.00008285
4.83989716,0.00007906
4.86373901,0.00007201
4.88758087,0.00005363
4.91142273,0.00025470
4.93526459,0.00198035
4.95910645,0.00492806
4.98294830,0.00627045
5.00679016,0.00628959
5.03063202,0.00571228
5.05447388,0.00322357
5.07831573,0.00077908
5.10215759,0.00012148
5.12599945,0.00011576
5.14984131,0.00012689
5.17368317,0.00010666
5.19752502,0.00008372
5.22136688,0.00003650
5.24520874,0.00002909
5.26905060,0.00009608
5.29289246,0.00013070
5.31673431,0.00015357
5.34057617,0.00025279
5.36441803,0.00034758
5.38825989,0.00036881
5.41210175,0.00034578
5.43594360,0.00020404
5.45978546,0.00008812
5.48362732,0.00009836
5.50746918,0.00012193
5.53131104,0.00010941
5.55515289,0.00010564
5.57899475,0.00028868
5.60283661,0.00037728
5.62667847,0.00038120
5.65052032,0.00032891
5.67436218,0.00017523
5.69820404,0.00009163
5.72204590,0.00014144
5.74588776,0.00018226
5.76972961,0.00018231
5.79357147,0.00016388
5.81741333,0.00011055
5.84125519,0.00010842
5.86509705,0.00011903
5.88893890,0.00013230
5.91278076,0.00038182
5.93662262,0.00247378
5.96046448,0.00581813
5.98430634,0.00720525
6.00814819,0.00718861
6.03199005,0.00641649
6.05583191,0.00345282
6.07967377,0.00075468
6.10351563,0.00007861
6.12735748,0.00006417
6.15119934,0.00004979
6.17504120,0.00004015
6.19888306,0.00004347
6.22272491,0.00003633
6.24656677,0.00006985
6.27040863,0.00011084
6.29425049,0.00010442
6.31809235,0.00011453
6.34193420,0.00019663
6.36577606,0.00026522
6.38961792,0.00027377
6.41345978,0.00023471
6.43730164,0.00011404
6.46114349,0.00002393
6.48498535,0.00002619
6.50882721,0.00004709
6.53266907,0.00003137
6.55651093,0.00012094
6.58035278,0.00029698
6.60419464,0.00037595
6.62803650,0.00037688
6.65187836,0.00032586
6.67572021,0.00019287
6.69956207,0.00012275
6.72340393,0.00015242
6.74724579,0.00014591
6.77108765,0.00011836
6.79492950,0.00013041
6.81877136,0.00011422
6.84261322,0.00009611
6.86645508,0.00006120
6.89029694,0.00006857
6.91413879,0.00050224
6.93798065,0.00293870
6.96182251,0.00658471
6.98566437,0.00797847
7.00950623,0.00795798
7.03334808,0.00700320
7.05718994,0.00362786
7.08103180,0.00074715
7.10487366,0.00008500
7.12871552,0.00009712
7.15255737,0.00010896
7.17639923,0.00010807
7.20024109,0.00011063
7.22408295,0.00008295
7.24792480,0.00009943
7.27176666,0.00012866
7.29560852,0.00010445
7.31945038,0.00009955
7.34329224,0.00016868
7.36713409,0.00023947
7.39097595,0.00026276
7.41481781,0.00022583
7.43865967,0.00010139
7.46250153,0.00001398
7.48634338,0.00005347
7.51018524,0.00008686
7.53402710,0.00010582
7.55786896,0.00012790
7.58171082,0.00022385
7.60555267,0.00026598
7.62939453,0.00025489
7.65323639,0.00023121
7.67707825,0.00014488
7.70092010,0.00012108
7.72476196,0.00017359
7.74860382,0.00019028
7.77244568,0.00017152
7.79628754,0.00015612
7.82012939,0.00011021
7.84397125,0.00009154
7.86781311,0.00007833
7.89165497,0.00007998
7.91549683,0.00055454
7.93933868,0.00328968
7.96318054,0.00711716
7.98702240,0.00844244
8.01086426,0.00841167
8.03470612,0.00728707
8.05854797,0.00360880
8.08238983,0.00067638
8.10623169,0.00006379
8.13007355,0.00007632
8.15391541,0.00008641
8.17775726,0.00007956
8.20159912,0.00008285
8.22544098,0.00005666
8.24928284,0.00007351
8.27312469,0.00011884
8.29696655,0.00013487
8.32080841,0.00015739
8.34465027,0.00019425
8.36849213,0.00021818
8.39233398,0.00021359
8.41617584,0.00018468
8.44001770,0.00011500
8.46385956,0.00006638
8.48770142,0.00007223
8.51154327,0.00007414
8.53538513,0.00004760
8.55922699,0.00007568
8.58306885,0.00016682
8.60691071,0.00018755
8.63075256,0.00017588
8.65459442,0.00015873
8.67843628,0.00011411
8.70227814,0.00012127
8.72612000,0.00017274
8.74996185,0.00017646
8.77380371,0.00015663
8.79764557,0.00014120
8.82148743,0.00010380
8.84532928,0.00007899
8.86917114,0.00006153
8.89301300,0.00009691
8.91685486,0.00072507
8.94069672,0.00371933
8.96453857,0.00763218
8.98838043,0.00886246
9.01222229,0.00882315
9.03606415,0.00749863
9.05990601,0.00356294
9.08374786,0.00062888
9.10758972,0.00004283
9.13143158,0.00004100
9.15527344,0.00005743
9.17911530,0.00007381
9.20295715,0.00010248
9.22679901,0.00010640
9.25064087,0.00013979
9.27448273,0.00016642
9.29832458,0.00014568
9.32216644,0.00013200
9.34600830,0.00012786
9.36985016,0.00012954
9.39369202,0.00013566
9.41753387,0.00013138
9.44137573,0.00008748
9.46521759,0.00004472
9.48905945,0.00001414
9.51290131,0.00003480
9.53674316,0.00004464
9.56058502,0.00007070
9.58442688,0.00013543
9.60826874,0.00016918
9.63211060,0.00016934
9.65595245,0.00015740
9.67979431,0.00013689
9.70363617,0.00015684
9.72747803,0.00019384
9.75131989,0.00017308
9.77516174,0.00013570
9.79900360,0.00012494
9.82284546,0.00010089
9.84668732,0.00008694
9.87052917,0.00006187
9.89437103,0.00007360
9.91821289,0.00079703
9.94205475,0.00398883
9.96589661,0.00786242
9.98973846,0.00894715
10.01358032,0.00888412
10.03742218,0.00739767
10.06126404,0.00336579
10.08510590,0.00056041
10.10894775,0.00006293
10.13278961,0.00005714
10.15663147,0.00005591
10.18047333,0.00005707
10.20431519,0.00009878
10.22815704,0.00011041
10.25199890,0.00015535
10.27584076,0.00018813
10.29968262,0.00015985
10.32352448,0.00016200
10.34736633,0.00017720
10.37120819,0.00016944
10.39505005,0.00016172
10.41889191,0.00014939
10.44273376,0.00010245
10.46657562,0.00008971
10.49041748,0.00006629
10.51425934,0.00003651
10.53810120,0.00006432
10.56194305,0.00010001
10.58578491,0.00013244
10.60962677,0.00010519
10.63346863,0.00005254
10.65731049,0.00002634
10.68115234,0.00005248
10.70499420,0.00010087
10.72883606,0.00014876
10.75267792,0.00015246
10.77651978,0.00013025
10.80036163,0.00013422
10.82420349,0.00013107
10.84804535,0.00012741
10.87188721,0.00010943
10.89572906,0.00012609
10.91957092,0.00090087
10.94341278,0.00417354
10.96725464,0.00789005
10.99109650,0.00882661
11.01493835,0.00874141
11.03878021,0.00710314
11.06262207,0.00304242
11.08646393,0.00040685
11.11030579,0.00000995
11.13414764,0.00003858
11.15798950,0.00006696
11.18183136,0.00009703
11.20567322,0.00012564
11.22951508,0.00010284
11.25335693,0.00011601
11.27719879,0.00014317
11.30104065,0.00014237
11.32488251,0.00018399
11.34872437,0.00025241
11.37256622,0.00027268
11.39640808,0.00027425
11.42024994,0.00025240
11.44409180,0.00017097
11.46793365,0.00009624
11.49177551,0.00004618
11.51561737,0.00001763
11.53945923,0.00000580
11.56330109,0.00004037
11.58714294,0.00007833
11.61098480,0.00007449
11.63482666,0.00006571
11.65866852,0.00003672
11.68251038,0.00006200
11.70635223,0.00010600
11.73019409,0.00013881
11.75403595,0.00013983
11.77787781,0.00013508
11.80171967,0.00014705
11.82556152,0.00012300
11.84940338,0.00010067
11.87324524,0.00008062
11.89708710,0.00009810
11.92092896,0.00096417
11.94477081,0.00427153
11.96861267,0.00777755
11.99245453,0.00858347
12.01629639,0.00850182
12.04013824,0.00677292
12.06398010,0.00282764
12.08782196,0.00041821
12.11166382,0.00004880
12.13550568,0.00004681
12.15934753,0.00005158
12.18318939,0.00007572
12.20703125,0.00012913
12.23087311,0.00014981
12.25471497,0.00018462
12.27855682,0.00018995
12.30239868,0.00016242
12.32624054,0.00020708
12.35008240,0.00027480
12.37392426,0.00027350
12.39776611,0.00026640
12.42160797,0.00022449
12.44544983,0.00009851
12.46929169,0.00001247
12.49313354,0.00003840
12.51697540,0.00006125
12.54081726,0.00008336
12.56465912,0.00011830
12.58850098,0.00015426
12.61234283,0.00013914
12.63618469,0.00014438
12.66002655,0.00009023
12.68386841,0.00008599
12.70771027,0.00016090
12.73155212,0.00019077
12.75539398,0.00015526
12.77923584,0.00010403
12.80307770,0.00008520
12.82691956,0.00009340
12.85076141,0.00011444
12.87460327,0.00011604
12.89844513,0.00014012
12.92228699,0.00100305
12.94612885,0.00418648
12.96997070,0.00734171
12.99381256,0.00797725
13.01765442,0.00788157
13.04149628,0.00611477
13.06533813,0.00239305
13.08917999,0.00027717
13.11302185,0.00002675
13.13686371,0.00002108
13.16070557,0.00003373
13.18454742,0.00006216
13.20838928,0.00011300
13.23223114,0.00013043
13.25607300,0.00017862
13.27991486,0.00020018
13.30375671,0.00018903
13.32759857,0.00026183
13.35144043,0.00035175
13.37528229,0.00034456
13.39912415,0.00033181
13.42296600,0.00027819
13.44680786,0.00016124
13.47064972,0.00012876
13.49449158,0.00009635
13.51833344,0.00004984
13.54217529,0.00003098
13.56601715,0.00012910
13.58985901,0.00021700
13.61370087,0.00023151
13.63754272,0.00024588
13.66138458,0.00018036
13.68522644,0.00007483
13.70906830,0.00008132
13.73291016,0.00010704
13.75675201,0.00010606
13.78059387,0.00009583
13.80443573,0.00010546
13.82827759,0.00012509
13.85211945,0.00013537
