R,x1,x2,x1.err,x2.err
ohm,cm,cm,cm,cm
23700,19.1,2.4,0.05,0.05
27650,16.3,2.5
31600,14.4,2.7
35550,13.8,2.9
39500,11.5,2.9
43450,10.5,2.9
47400,9.7,3
55300,8.4,3.1
63200,7.4,3
71100,6.5,2.9
79000,5.9,2.7

