h,t
0,92.395
0.5,93.161
1,94.038
1.5,94.372
2,96.208
2.5,98.146
3,99.669
3.5,102.434
4,104.254
4.5,106.417
5,110.252
5.5,113.689
6,116.311
6.5,120.030
7,123.869
7.5,128.324
